Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.1734
188002,-0.5683
188003,-0.7399
188004,-0.3252
188005,-0.2198
188006,-0.3053
188007,-0.3485
188008,-0.3168
188009,-0.3928
188010,-0.6388
188011,-0.9657
188012,-0.5868
188101,-0.4319
188102,-0.5117
188103,-0.3000
188104,-0.1651
188105,-0.0767
188106,-0.5472
188107,-0.3480
188108,-0.1546
188109,-0.5790
188110,-0.7659
188111,-0.9217
188112,-0.3731
188201,-0.0069
188202,-0.2164
188203,-0.0071
188204,-0.7046
188205,-0.5250
188206,-0.5561
188207,-0.5418
188208,-0.0736
188209,-0.1761
188210,-0.8598
188211,-0.4389
188212,-0.6778
188301,-1.2621
188302,-1.3877
188303,-0.5403
188304,-0.6210
188305,-0.4957
188306,-0.0843
188307,-0.3578
188308,-0.3022
188309,-0.4975
188310,-0.5753
188311,-0.7140
188312,-0.2441
188401,-0.4257
188402,-0.7196
188403,-0.8924
188404,-0.7300
188405,-0.5131
188406,-0.4599
188407,-0.6810
188408,-0.6936
188409,-0.6322
188410,-0.4475
188411,-0.6815
188412,-0.3111
188501,-1.3385
188502,-0.7907
188503,-0.3401
188504,-0.5877
188505,-0.5909
188506,-0.6270
188507,-0.5202
188508,-0.6251
188509,-0.3811
188510,-0.3289
188511,-0.2186
188512,0.2515
188601,-0.4210
188602,-0.9795
188603,-0.8250
188604,-0.3599
188605,-0.3901
188606,-0.5344
188607,-0.2087
188608,-0.2944
188609,-0.3305
188610,-0.5921
188611,-0.5879
188612,-0.0248
188701,-1.0298
188702,-0.8853
188703,-0.2647
188704,-0.3201
188705,-0.1868
188706,-0.4526
188707,-0.4042
188708,-0.6403
188709,-0.1674
188710,-0.6134
188711,-0.1479
188712,-0.2578
188801,-1.0059
188802,-0.8284
188803,-0.7881
188804,-0.2358
188805,-0.4726
188806,-0.3266
188807,-0.2637
188808,-0.5102
188809,-0.2526
188810,-0.2220
188811,-0.4570
188812,-0.1994
188901,-0.7633
188902,-0.1568
188903,0.1452
188904,0.2007
188905,-0.2184
188906,-0.1699
188907,-0.3044
188908,-0.2319
188909,-0.4184
188910,-0.4575
188911,-0.9099
188912,-0.4257
189001,-0.8347
189002,-0.8949
189003,-0.5373
189004,-0.3034
189005,-0.6980
189006,-0.3906
189007,-0.2179
189008,-0.3755
189009,-0.3476
189010,-0.2564
189011,-0.7236
189012,-0.4314
189101,-0.8566
189102,-1.3863
189103,-0.4500
189104,-0.6223
189105,-0.3858
189106,-0.5343
189107,-0.4337
189108,-0.4255
189109,-0.2126
189110,-0.6384
189111,-0.9079
189112,0.1243
189201,-0.7180
189202,-0.3512
189203,-0.8302
189204,-0.6865
189205,-0.4971
189206,-0.3008
189207,-0.3539
189208,-0.3189
189209,-0.1302
189210,-0.1426
189211,-1.0477
189212,-0.9219
189301,-2.0460
189302,-1.6752
189303,-0.2297
189304,-0.4419
189305,-0.6080
189306,-0.3024
189307,-0.1780
189308,-0.4429
189309,-0.2868
189310,-0.2436
189311,-0.1041
189312,-0.2788
189401,-0.8532
189402,-0.0769
189403,0.0083
189404,-0.4705
189405,-0.2421
189406,-0.4676
189407,-0.3114
189408,-0.3185
189409,-0.3966
189410,-0.2977
189411,-0.5369
189412,-0.3186
189501,-1.2569
189502,-1.0972
189503,-0.3328
