Global Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,0.0248
188002,-0.0376
188003,-0.0073
188004,0.0085
188005,-0.0556
188006,-0.1533
188007,-0.1135
188008,-0.0240
188009,-0.0141
188010,-0.0740
188011,-0.1017
188012,0.0041
188101,0.0648
188102,0.0631
188103,0.0876
188104,0.1030
188105,0.0354
188106,0.0348
188107,0.0428
188108,-0.0328
188109,-0.0769
188110,-0.0809
188111,-0.0340
188112,0.0084
188201,0.0896
188202,0.0836
188203,0.0673
188204,0.0082
188205,-0.0654
188206,-0.0438
188207,0.0506
188208,0.0016
188209,0.0544
188210,-0.0385
188211,-0.0480
188212,-0.0491
188301,-0.0158
188302,0.0086
188303,-0.0386
188304,-0.0605
188305,-0.0607
188306,-0.0008
188307,-0.0198
188308,0.0045
188309,-0.0613
188310,-0.0578
188311,-0.0288
188312,-0.0609
188401,-0.1335
188402,-0.0080
188403,-0.0379
188404,-0.0581
188405,-0.0475
188406,-0.1432
188407,-0.2056
188408,-0.1686
188409,-0.1216
188410,-0.1047
188411,-0.1726
188412,-0.1304
188501,-0.1985
188502,-0.1403
188503,-0.1280
188504,-0.1942
188505,-0.2172
188506,-0.2403
188507,-0.1703
188508,-0.1504
188509,-0.1560
188510,-0.0821
188511,-0.1115
188512,-0.0336
188601,-0.0403
188602,-0.1184
188603,-0.1599
188604,-0.1356
188605,-0.1069
188606,-0.1779
188607,-0.1533
188608,-0.2000
188609,-0.1595
188610,-0.1290
188611,-0.0867
188612,-0.2235
188701,-0.2217
188702,-0.2458
188703,-0.1616
188704,-0.1775
188705,-0.2663
188706,-0.1641
188707,-0.2365
188708,-0.2212
188709,-0.1956
188710,-0.2094
188711,-0.1720
188712,-0.2054
188801,-0.2188
188802,-0.2063
188803,-0.1946
188804,-0.1817
188805,-0.0832
188806,-0.0417
188807,-0.0869
188808,-0.0719
188809,-0.0156
188810,0.0849
188811,0.0755
188812,0.0989
188901,0.0912
188902,0.0447
188903,0.0876
188904,-0.0162
188905,0.0166
188906,-0.0449
188907,-0.1181
188908,-0.1234
188909,-0.1739
188910,-0.1090
188911,-0.0785
188912,-0.1166
189001,-0.2261
189002,-0.2780
189003,-0.2432
189004,-0.2677
189005,-0.2974
189006,-0.2745
189007,-0.3141
189008,-0.3204
189009,-0.3566
189010,-0.3177
189011,-0.2208
189012,-0.1918
189101,-0.2286
189102,-0.2111
189103,-0.1345
189104,-0.1266
189105,-0.0624
189106,-0.0936
189107,-0.1425
189108,-0.1562
189109,-0.1363
189110,-0.1691
189111,-0.2205
189112,-0.1119
189201,-0.0864
189202,-0.0654
189203,-0.1570
189204,-0.1854
189205,-0.2322
189206,-0.2867
189207,-0.3557
189208,-0.3494
189209,-0.2654
189210,-0.2906
189211,-0.2619
189212,-0.3064
189301,-0.1896
189302,-0.2498
189303,-0.2328
189304,-0.3167
189305,-0.2445
189306,-0.2133
189307,-0.2096
189308,-0.2858
189309,-0.2552
189310,-0.1995
189311,-0.1886
189312,-0.2423
189401,-0.2897
189402,-0.2792
189403,-0.2881
189404,-0.2491
189405,-0.3282
189406,-0.3096
189407,-0.2617
189408,-0.2565
189409,-0.2021
189410,-0.1831
189411,-0.2053
189412,-0.2072
189501,-0.1361
189502,-0.1587
189503,-0.2618
189504,-0.2277
189505,-0.1963
189506,-0.2436
