year,anomaly,historic_avg,actual_avg,type,month
1880,-0.0083,15.9,15.8917,ocean,03
1881,0.0871,15.9,15.9871,ocean,03
1882,0.0666,15.9,15.9666,ocean,03
1883,-0.0390,15.9,15.861,ocean,03
1884,-0.0382,15.9,15.8618,ocean,03
1885,-0.1290,15.9,15.771,ocean,03
1886,-0.1607,15.9,15.7393,ocean,03
1887,-0.1628,15.9,15.7372,ocean,03
1888,-0.1961,15.9,15.7039,ocean,03
1889,0.0855,15.9,15.9855,ocean,03
1890,-0.2451,15.9,15.6549,ocean,03
1891,-0.1363,15.9,15.7637,ocean,03
1892,-0.1585,15.9,15.7415,ocean,03
1893,-0.2346,15.9,15.6654,ocean,03
1894,-0.2896,15.9,15.6104,ocean,03
1895,-0.2634,15.9,15.6366,ocean,03
1896,-0.0804,15.9,15.8196,ocean,03
1897,0.1031,15.9,16.0031,ocean,03
1898,-0.3161,15.9,15.5839,ocean,03
1899,-0.1662,15.9,15.7338,ocean,03
1900,-0.0557,15.9,15.8443,ocean,03
1901,-0.1408,15.9,15.7592,ocean,03
1902,-0.2089,15.9,15.6911,ocean,03
1903,-0.2595,15.9,15.6405,ocean,03
1904,-0.4392,15.9,15.4608,ocean,03
1905,-0.2598,15.9,15.6402,ocean,03
1906,-0.1162,15.9,15.7838,ocean,03
1907,-0.1907,15.9,15.7093,ocean,03
1908,-0.4433,15.9,15.4567,ocean,03
1909,-0.4599,15.9,15.4401,ocean,03
1910,-0.4289,15.9,15.4711,ocean,03
1911,-0.5048,15.9,15.3952,ocean,03
1912,-0.1386,15.9,15.7614,ocean,03
1913,-0.3385,15.9,15.5615,ocean,03
1914,-0.1985,15.9,15.7015,ocean,03
1915,-0.0620,15.9,15.838,ocean,03
1916,-0.1954,15.9,15.7046,ocean,03
1917,-0.2715,15.9,15.6285,ocean,03
1918,-0.1378,15.9,15.7622,ocean,03
1919,-0.0662,15.9,15.8338,ocean,03
1920,-0.1037,15.9,15.7963,ocean,03
1921,-0.2550,15.9,15.645,ocean,03
1922,-0.1001,15.9,15.7999,ocean,03
1923,-0.2575,15.9,15.6425,ocean,03
1924,-0.1225,15.9,15.7775,ocean,03
1925,-0.2306,15.9,15.6694,ocean,03
1926,-0.0573,15.9,15.8427,ocean,03
1927,-0.2064,15.9,15.6936,ocean,03
1928,-0.1831,15.9,15.7169,ocean,03
1929,-0.3157,15.9,15.5843,ocean,03
1930,-0.1910,15.9,15.709,ocean,03
1931,-0.0134,15.9,15.8866,ocean,03
1932,-0.0964,15.9,15.8036,ocean,03
1933,-0.1883,15.9,15.7117,ocean,03
1934,-0.2382,15.9,15.6618,ocean,03
1935,-0.2162,15.9,15.6838,ocean,03
1936,-0.1579,15.9,15.7421,ocean,03
1937,-0.0517,15.9,15.8483,ocean,03
1938,-0.1086,15.9,15.7914,ocean,03
1939,-0.1189,15.9,15.7811,ocean,03
1940,0.0443,15.9,15.9443,ocean,03
1941,0.1824,15.9,16.0824,ocean,03
1942,0.2527,15.9,16.1527,ocean,03
1943,0.1751,15.9,16.0751,ocean,03
1944,0.3738,15.9,16.2738,ocean,03
1945,0.2554,15.9,16.1554,ocean,03
1946,0.0584,15.9,15.9584,ocean,03
1947,-0.1457,15.9,15.7543,ocean,03
1948,-0.0994,15.9,15.8006,ocean,03
1949,-0.0357,15.9,15.8643,ocean,03
1950,-0.0912,15.9,15.8088,ocean,03
1951,-0.1057,15.9,15.7943,ocean,03
1952,0.0862,15.9,15.9862,ocean,03
1953,0.0503,15.9,15.9503,ocean,03
1954,-0.0179,15.9,15.8821,ocean,03
1955,-0.1293,15.9,15.7707,ocean,03
