year,anomaly,historic_avg,actual_avg,type,month
1880,-0.1018,15.8,15.6982,ocean,11
1881,-0.0342,15.8,15.7658,ocean,11
1882,-0.0478,15.8,15.7522,ocean,11
1883,-0.0290,15.8,15.771,ocean,11
1884,-0.1731,15.8,15.6269,ocean,11
1885,-0.1123,15.8,15.6877,ocean,11
1886,-0.0877,15.8,15.7123,ocean,11
1887,-0.1726,15.8,15.6274,ocean,11
1888,0.0743,15.8,15.8743,ocean,11
1889,-0.0798,15.8,15.7202,ocean,11
1890,-0.2223,15.8,15.5777,ocean,11
1891,-0.2217,15.8,15.5783,ocean,11
1892,-0.2633,15.8,15.5367,ocean,11
1893,-0.1909,15.8,15.6091,ocean,11
1894,-0.2066,15.8,15.5934,ocean,11
1895,-0.0993,15.8,15.7007,ocean,11
1896,0.0557,15.8,15.8557,ocean,11
1897,-0.1894,15.8,15.6106,ocean,11
1898,-0.2178,15.8,15.5822,ocean,11
1899,-0.0360,15.8,15.764,ocean,11
1900,-0.1000,15.8,15.7,ocean,11
1901,-0.2281,15.8,15.5719,ocean,11
1902,-0.1954,15.8,15.6046,ocean,11
1903,-0.3654,15.8,15.4346,ocean,11
1904,-0.3079,15.8,15.4921,ocean,11
1905,-0.1889,15.8,15.6111,ocean,11
1906,-0.2672,15.8,15.5328,ocean,11
1907,-0.3582,15.8,15.4418,ocean,11
1908,-0.4396,15.8,15.3604,ocean,11
1909,-0.4679,15.8,15.3321,ocean,11
1910,-0.4473,15.8,15.3527,ocean,11
1911,-0.2767,15.8,15.5233,ocean,11
1912,-0.3685,15.8,15.4315,ocean,11
1913,-0.2478,15.8,15.5522,ocean,11
1914,-0.0356,15.8,15.7644,ocean,11
1915,-0.0895,15.8,15.7105,ocean,11
1916,-0.3965,15.8,15.4035,ocean,11
1917,-0.2373,15.8,15.5627,ocean,11
1918,-0.0177,15.8,15.7823,ocean,11
1919,-0.1933,15.8,15.6067,ocean,11
1920,-0.1513,15.8,15.6487,ocean,11
1921,-0.1077,15.8,15.6923,ocean,11
1922,-0.2299,15.8,15.5701,ocean,11
1923,-0.0816,15.8,15.7184,ocean,11
1924,-0.4255,15.8,15.3745,ocean,11
1925,-0.0183,15.8,15.7817,ocean,11
1926,-0.1254,15.8,15.6746,ocean,11
1927,-0.0827,15.8,15.7173,ocean,11
1928,-0.2006,15.8,15.5994,ocean,11
1929,-0.1719,15.8,15.6281,ocean,11
1930,0.0534,15.8,15.8534,ocean,11
1931,-0.1540,15.8,15.646,ocean,11
1932,-0.1727,15.8,15.6273,ocean,11
1933,-0.2903,15.8,15.5097,ocean,11
1934,-0.1005,15.8,15.6995,ocean,11
1935,-0.0787,15.8,15.7213,ocean,11
1936,-0.0905,15.8,15.7095,ocean,11
1937,0.0033,15.8,15.8033,ocean,11
1938,-0.1409,15.8,15.6591,ocean,11
1939,0.0356,15.8,15.8356,ocean,11
1940,0.1859,15.8,15.9859,ocean,11
1941,0.3553,15.8,16.1553,ocean,11
1942,0.1012,15.8,15.9012,ocean,11
1943,0.2813,15.8,16.0813,ocean,11
1944,0.2480,15.8,16.048,ocean,11
1945,0.2899,15.8,16.0899,ocean,11
1946,-0.0615,15.8,15.7385,ocean,11
1947,-0.1158,15.8,15.6842,ocean,11
1948,-0.1255,15.8,15.6745,ocean,11
1949,-0.1252,15.8,15.6748,ocean,11
1950,-0.1496,15.8,15.6504,ocean,11
1951,0.0458,15.8,15.8458,ocean,11
1952,0.0359,15.8,15.8359,ocean,11
1953,0.0186,15.8,15.8186,ocean,11
1954,-0.1045,15.8,15.6955,ocean,11
1955,-0.2048,15.8,15.5952,ocean,11
1956,-0.0614,15.8,15.7386,ocean,11
1957,0.0970,15.8,15.897,ocean,11
1958,0.0536,15.8,15.8536,ocean,11
1959,0.0276,15.8,15.8276,ocean,11
1960,0.0393,15.8,15.8393,ocean,11
1961,0.0170,15.8,15.817,ocean,11
1962,0.0261,15.8,15.8261,ocean,11
1963,0.1041,15.8,15.9041,ocean,11
1964,-0.2156,15.8,15.5844,ocean,11
1965,-0.0078,15.8,15.7922,ocean,11
1966,0.0129,15.8,15.8129,ocean,11
