year,anomaly,historic_avg,actual_avg,type,month
1880,-0.0140,16.2,16.186,ocean,09
1881,-0.0770,16.2,16.123,ocean,09
1882,0.0544,16.2,16.2544,ocean,09
1883,-0.0611,16.2,16.1389,ocean,09
1884,-0.1215,16.2,16.0785,ocean,09
1885,-0.1567,16.2,16.0433,ocean,09
1886,-0.1602,16.2,16.0398,ocean,09
1887,-0.1965,16.2,16.0035,ocean,09
1888,-0.0164,16.2,16.1836,ocean,09
1889,-0.1750,16.2,16.025,ocean,09
1890,-0.3576,16.2,15.8424,ocean,09
1891,-0.1374,16.2,16.0626,ocean,09
1892,-0.2667,16.2,15.9333,ocean,09
1893,-0.2565,16.2,15.9435,ocean,09
1894,-0.2032,16.2,15.9968,ocean,09
1895,-0.1223,16.2,16.0777,ocean,09
1896,0.0183,16.2,16.2183,ocean,09
1897,-0.0851,16.2,16.1149,ocean,09
1898,-0.1863,16.2,16.0137,ocean,09
1899,-0.0725,16.2,16.1275,ocean,09
1900,-0.0425,16.2,16.1575,ocean,09
1901,-0.2156,16.2,15.9844,ocean,09
1902,-0.2137,16.2,15.9863,ocean,09
1903,-0.3935,16.2,15.8065,ocean,09
1904,-0.4273,16.2,15.7727,ocean,09
1905,-0.2282,16.2,15.9718,ocean,09
1906,-0.2982,16.2,15.9018,ocean,09
1907,-0.3427,16.2,15.8573,ocean,09
1908,-0.4540,16.2,15.746,ocean,09
1909,-0.4397,16.2,15.7603,ocean,09
1910,-0.3593,16.2,15.8407,ocean,09
1911,-0.4194,16.2,15.7806,ocean,09
1912,-0.3968,16.2,15.8032,ocean,09
1913,-0.3525,16.2,15.8475,ocean,09
1914,-0.1927,16.2,16.0073,ocean,09
1915,-0.0839,16.2,16.1161,ocean,09
1916,-0.2719,16.2,15.9281,ocean,09
1917,-0.0571,16.2,16.1429,ocean,09
1918,-0.1460,16.2,16.054,ocean,09
1919,-0.2206,16.2,15.9794,ocean,09
1920,-0.1565,16.2,16.0435,ocean,09
1921,-0.1226,16.2,16.0774,ocean,09
1922,-0.2766,16.2,15.9234,ocean,09
1923,-0.2781,16.2,15.9219,ocean,09
1924,-0.3435,16.2,15.8565,ocean,09
1925,-0.1210,16.2,16.079,ocean,09
1926,-0.1050,16.2,16.095,ocean,09
1927,-0.1164,16.2,16.0836,ocean,09
1928,-0.2185,16.2,15.9815,ocean,09
1929,-0.2180,16.2,15.982,ocean,09
1930,-0.0345,16.2,16.1655,ocean,09
1931,-0.0929,16.2,16.1071,ocean,09
1932,-0.1776,16.2,16.0224,ocean,09
1933,-0.2353,16.2,15.9647,ocean,09
1934,-0.0486,16.2,16.1514,ocean,09
1935,-0.1309,16.2,16.0691,ocean,09
1936,-0.0604,16.2,16.1396,ocean,09
1937,0.0784,16.2,16.2784,ocean,09
1938,-0.0972,16.2,16.1028,ocean,09
1939,0.0449,16.2,16.2449,ocean,09
1940,0.1184,16.2,16.3184,ocean,09
1941,0.1891,16.2,16.3891,ocean,09
1942,0.1104,16.2,16.3104,ocean,09
1943,0.1953,16.2,16.3953,ocean,09
1944,0.3559,16.2,16.5559,ocean,09
1945,0.3238,16.2,16.5238,ocean,09
1946,-0.0033,16.2,16.1967,ocean,09
1947,-0.1981,16.2,16.0019,ocean,09
1948,-0.1626,16.2,16.0374,ocean,09
1949,-0.0368,16.2,16.1632,ocean,09
1950,-0.0737,16.2,16.1263,ocean,09
1951,0.0856,16.2,16.2856,ocean,09
1952,0.0605,16.2,16.2605,ocean,09
1953,0.0543,16.2,16.2543,ocean,09
1954,-0.0916,16.2,16.1084,ocean,09
1955,-0.1147,16.2,16.0853,ocean,09
1956,-0.1597,16.2,16.0403,ocean,09
1957,0.0797,16.2,16.2797,ocean,09
1958,0.1099,16.2,16.3099,ocean,09
1959,0.0972,16.2,16.2972,ocean,09
1960,0.0787,16.2,16.2787,ocean,09
1961,0.0012,16.2,16.2012,ocean,09
1962,0.0910,16.2,16.291,ocean,09
1963,0.1061,16.2,16.3061,ocean,09
1964,-0.1605,16.2,16.0395,ocean,09
1965,0.0088,16.2,16.2088,ocean,09
1966,0.0005,16.2,16.2005,ocean,09
1967,0.0099,16.2,16.2099,ocean,09
1968,0.0751,16.2,16.2751,ocean,09
1969,0.1512,16.2,16.3512,ocean,09
1970,0.0203,16.2,16.2203,ocean,09
1971,-0.0906,16.2,16.1094,ocean,09
1972,0.1163,16.2,16.3163,ocean,09
1973,0.0684,16.2,16.2684,ocean,09
1974,0.0185,16.2,16.2185,ocean,09
1975,-0.0473,16.2,16.1527,ocean,09
1976,-0.0324,16.2,16.1676,ocean,09
1977,0.2067,16.2,16.4067,ocean,09
1978,0.1077,16.2,16.3077,ocean,09
1979,0.2892,16.2,16.4892,ocean,09
1980,0.2170,16.2,16.417,ocean,09
1981,0.1983,16.2,16.3983,ocean,09
1982,0.2455,16.2,16.4455,ocean,09
1983,0.2574,16.2,16.4574,ocean,09
1984,0.2402,16.2,16.4402,ocean,09
1985,0.1698,16.2,16.3698,ocean,09
1986,0.2301,16.2,16.4301,ocean,09
1987,0.4325,16.2,16.6325,ocean,09
1988,0.2660,16.2,16.466,ocean,09
1989,0.3130,16.2,16.513,ocean,09
1990,0.3440,16.2,16.544,ocean,09
1991,0.3296,16.2,16.5296,ocean,09
1992,0.1884,16.2,16.3884,ocean,09
