year,anomaly,historic_avg,actual_avg,type,month
1880,0.0079,16,16.0079,ocean,04
1881,0.1027,16,16.1027,ocean,04
1882,0.0078,16,16.0078,ocean,04
1883,-0.0608,16,15.9392,ocean,04
1884,-0.0583,16,15.9417,ocean,04
1885,-0.1950,16,15.805,ocean,04
1886,-0.1367,16,15.8633,ocean,04
1887,-0.1790,16,15.821,ocean,04
1888,-0.1830,16,15.817,ocean,04
1889,-0.0179,16,15.9821,ocean,04
1890,-0.2692,16,15.7308,ocean,04
1891,-0.1285,16,15.8715,ocean,04
1892,-0.1874,16,15.8126,ocean,04
1893,-0.3187,16,15.6813,ocean,04
1894,-0.2505,16,15.7495,ocean,04
1895,-0.2294,16,15.7706,ocean,04
1896,-0.1001,16,15.8999,ocean,04
1897,-0.0012,16,15.9988,ocean,04
1898,-0.3149,16,15.6851,ocean,04
1899,-0.2345,16,15.7655,ocean,04
1900,-0.0600,16,15.94,ocean,04
1901,-0.1241,16,15.8759,ocean,04
1902,-0.1701,16,15.8299,ocean,04
1903,-0.3019,16,15.6981,ocean,04
1904,-0.4326,16,15.5674,ocean,04
1905,-0.3034,16,15.6966,ocean,04
1906,-0.1489,16,15.8511,ocean,04
1907,-0.2085,16,15.7915,ocean,04
1908,-0.4064,16,15.5936,ocean,04
1909,-0.4388,16,15.5612,ocean,04
1910,-0.4065,16,15.5935,ocean,04
1911,-0.5440,16,15.456,ocean,04
1912,-0.1515,16,15.8485,ocean,04
1913,-0.3590,16,15.641,ocean,04
1914,-0.2264,16,15.7736,ocean,04
1915,-0.0212,16,15.9788,ocean,04
1916,-0.1691,16,15.8309,ocean,04
1917,-0.2333,16,15.7667,ocean,04
1918,-0.1852,16,15.8148,ocean,04
1919,-0.1036,16,15.8964,ocean,04
1920,-0.1741,16,15.8259,ocean,04
1921,-0.2795,16,15.7205,ocean,04
1922,-0.1749,16,15.8251,ocean,04
1923,-0.2123,16,15.7877,ocean,04
1924,-0.1575,16,15.8425,ocean,04
1925,-0.2451,16,15.7549,ocean,04
1926,-0.0611,16,15.9389,ocean,04
1927,-0.1833,16,15.8167,ocean,04
1928,-0.2010,16,15.799,ocean,04
1929,-0.2991,16,15.7009,ocean,04
1930,-0.1725,16,15.8275,ocean,04
1931,-0.1068,16,15.8932,ocean,04
1932,-0.1664,16,15.8336,ocean,04
1933,-0.1531,16,15.8469,ocean,04
1934,-0.1790,16,15.821,ocean,04
1935,-0.1425,16,15.8575,ocean,04
1936,-0.1310,16,15.869,ocean,04
1937,-0.0563,16,15.9437,ocean,04
1938,-0.1218,16,15.8782,ocean,04
1939,-0.1121,16,15.8879,ocean,04
1940,0.1069,16,16.1069,ocean,04
1941,0.2344,16,16.2344,ocean,04
1942,0.2777,16,16.2777,ocean,04
1943,0.1623,16,16.1623,ocean,04
1944,0.3973,16,16.3973,ocean,04
1945,0.3147,16,16.3147,ocean,04
1946,0.0835,16,16.0835,ocean,04
1947,-0.0682,16,15.9318,ocean,04
1948,-0.1015,16,15.8985,ocean,04
1949,-0.0141,16,15.9859,ocean,04
1950,-0.1176,16,15.8824,ocean,04
1951,-0.0762,16,15.9238,ocean,04
1952,0.0907,16,16.0907,ocean,04
1953,0.1425,16,16.1425,ocean,04
1954,-0.1183,16,15.8817,ocean,04
1955,-0.1542,16,15.8458,ocean,04
1956,-0.1762,16,15.8238,ocean,04
1957,0.0917,16,16.0917,ocean,04
1958,0.1135,16,16.1135,ocean,04
1959,0.0798,16,16.0798,ocean,04
1960,-0.0271,16,15.9729,ocean,04
1961,0.1277,16,16.1277,ocean,04
1962,0.0422,16,16.0422,ocean,04
1963,0.0743,16,16.0743,ocean,04
1964,-0.1072,16,15.8928,ocean,04
1965,-0.1069,16,15.8931,ocean,04
1966,0.0002,16,16.0002,ocean,04
1967,-0.0440,16,15.956,ocean,04
1968,-0.0810,16,15.919,ocean,04
1969,0.2346,16,16.2346,ocean,04
1970,0.1085,16,16.1085,ocean,04
1971,-0.1074,16,15.8926,ocean,04
1972,0.0517,16,16.0517,ocean,04
1973,0.1762,16,16.1762,ocean,04
1974,-0.0855,16,15.9145,ocean,04
1975,-0.0019,16,15.9981,ocean,04
1976,-0.0643,16,15.9357,ocean,04
1977,0.1784,16,16.1784,ocean,04
1978,0.0799,16,16.0799,ocean,04
1979,0.2307,16,16.2307,ocean,04
1980,0.2640,16,16.264,ocean,04
1981,0.2241,16,16.2241,ocean,04
1982,0.1766,16,16.1766,ocean,04
1983,0.3058,16,16.3058,ocean,04
1984,0.1766,16,16.1766,ocean,04
1985,0.1073,16,16.1073,ocean,04
1986,0.1819,16,16.1819,ocean,04
1987,0.3127,16,16.3127,ocean,04
1988,0.3674,16,16.3674,ocean,04
1989,0.2522,16,16.2522,ocean,04
1990,0.3884,16,16.3884,ocean,04
1991,0.4101,16,16.4101,ocean,04
1992,0.3240,16,16.324,ocean,04
1993,0.2828,16,16.2828,ocean,04
1994,0.2688,16,16.2688,ocean,04
1995,0.3391,16,16.3391,ocean,04
1996,0.3289,16,16.3289,ocean,04
1997,0.3515,16,16.3515,ocean,04
1998,0.5589,16,16.5589,ocean,04
1999,0.3394,16,16.3394,ocean,04
2000,0.3557,16,16.3557,ocean,04
2001,0.4305,16,16.4305,ocean,04
2002,0.4999,16,16.4999,ocean,04
2003,0.4689,16,16.4689,ocean,04
2004,0.4887,16,16.4887,ocean,04
2005,0.5043,16,16.5043,ocean,04
2006,0.4529,16,16.4529,ocean,04
2007,0.4477,16,16.4477,ocean,04
2008,0.3648,16,16.3648,ocean,04
2009,0.4739,16,16.4739,ocean,04
2010,0.6330,16,16.633,ocean,04
2011,0.4432,16,16.4432,ocean,04
2012,0.4518,16,16.4518,ocean,04
2013,0.4984,16,16.4984,ocean,04
2014,0.5975,16,16.5975,ocean,04
2015,0.6578,16,16.6578,ocean,04
1880,-0.3364,8.1,7.7636,land,04
1881,-0.1777,8.1,7.9223,land,04
1882,-0.7091,8.1,7.3909,land,04
1883,-0.6247,8.1,7.4753,land,04
1884,-0.7301,8.1,7.3699,land,04
1885,-0.6109,8.1,7.4891,land,04
1886,-0.3878,8.1,7.7122,land,04
1887,-0.3571,8.1,7.7429,land,04
1888,-0.2576,8.1,7.8424,land,04
1889,0.1768,8.1,8.2768,land,04
1890,-0.3210,8.1,7.779,land,04
1891,-0.6376,8.1,7.4624,land,04
1892,-0.7113,8.1,7.3887,land,04
1893,-0.4696,8.1,7.6304,land,04
1894,-0.4941,8.1,7.6059,land,04
1895,-0.0943,8.1,8.0057,land,04
1896,-0.7235,8.1,7.3765,land,04
1897,-0.0651,8.1,8.0349,land,04
1898,-0.4818,8.1,7.6182,land,04
1899,-0.1224,8.1,7.9776,land,04
1900,-0.2444,8.1,7.8556,land,04
1901,0.0682,8.1,8.1682,land,04
1902,-0.5975,8.1,7.5025,land,04
1903,-0.5498,8.1,7.5502,land,04
1904,-0.6047,8.1,7.4953,land,04
1905,-0.8571,8.1,7.2429,land,04
1906,0.2351,8.1,8.3351,land,04
1907,-0.7501,8.1,7.3499,land,04
1908,-0.7066,8.1,7.3934,land,04
1909,-0.7749,8.1,7.3251,land,04
1910,-0.1445,8.1,7.9555,land,04
1911,-0.4045,8.1,7.6955,land,04
1912,-0.3213,8.1,7.7787,land,04
1913,-0.3079,8.1,7.7921,land,04
1914,-0.3042,8.1,7.7958,land,04
1915,0.1508,8.1,8.2508,land,04
1916,-0.2383,8.1,7.8617,land,04
1917,-0.4808,8.1,7.6192,land,04
1918,-0.5082,8.1,7.5918,land,04
1919,0.0509,8.1,8.1509,land,04
1920,-0.2646,8.1,7.8354,land,04
1921,0.0062,8.1,8.1062,land,04
1922,0.0138,8.1,8.1138,land,04
1923,-0.6659,8.1,7.4341,land,04
1924,-0.4619,8.1,7.6381,land,04
1925,0.0627,8.1,8.1627,land,04
1926,-0.3118,8.1,7.7882,land,04
1927,-0.3015,8.1,7.7985,land,04
1928,-0.3606,8.1,7.7394,land,04
1929,-0.2819,8.1,7.8181,land,04
1930,-0.2388,8.1,7.8612,land,04
1931,-0.3091,8.1,7.7909,land,04
1932,0.3053,8.1,8.4053,land,04
1933,-0.3513,8.1,7.7487,land,04
1934,-0.3872,8.1,7.7128,land,04
1935,-0.5661,8.1,7.5339,land,04
1936,-0.3356,8.1,7.7644,land,04
1937,-0.3414,8.1,7.7586,land,04
1938,0.4433,8.1,8.5433,land,04
1939,-0.2009,8.1,7.8991,land,04
1940,0.1708,8.1,8.2708,land,04
1941,0.1949,8.1,8.2949,land,04
1942,-0.0212,8.1,8.0788,land,04
1943,0.1980,8.1,8.298,land,04
1944,-0.0068,8.1,8.0932,land,04
1945,0.2263,8.1,8.3263,land,04
1946,0.4000,8.1,8.5,land,04
1947,0.2072,8.1,8.3072,land,04
1948,0.0219,8.1,8.1219,land,04
1949,0.0433,8.1,8.1433,land,04
1950,-0.2982,8.1,7.8018,land,04
1951,-0.1104,8.1,7.9896,land,04
1952,0.0060,8.1,8.106,land,04
1953,0.2887,8.1,8.3887,land,04
1954,-0.3157,8.1,7.7843,land,04
1955,-0.4304,8.1,7.6696,land,04
1956,-0.5364,8.1,7.5636,land,04
1957,-0.2873,8.1,7.8127,land,04
1958,0.1154,8.1,8.2154,land,04
1959,0.2183,8.1,8.3183,land,04
1960,-0.2703,8.1,7.8297,land,04
1961,0.1479,8.1,8.2479,land,04
1962,0.1666,8.1,8.2666,land,04
1963,-0.2023,8.1,7.8977,land,04
1964,-0.3839,8.1,7.7161,land,04
1965,-0.3970,8.1,7.703,land,04
1966,-0.3257,8.1,7.7743,land,04
1967,0.1308,8.1,8.2308,land,04
1968,-0.0450,8.1,8.055,land,04
1969,0.0828,8.1,8.1828,land,04
1970,0.1901,8.1,8.2901,land,04
1971,-0.1904,8.1,7.9096,land,04
1972,-0.0106,8.1,8.0894,land,04
1973,0.4447,8.1,8.5447,land,04
1974,0.0557,8.1,8.1557,land,04
1975,0.2790,8.1,8.379,land,04
1976,0.0753,8.1,8.1753,land,04
1977,0.5467,8.1,8.6467,land,04
1978,0.2591,8.1,8.3591,land,04
1979,-0.2244,8.1,7.8756,land,04
1980,0.4187,8.1,8.5187,land,04
1981,0.7080,8.1,8.808,land,04
1982,0.2748,8.1,8.3748,land,04
1983,0.2534,8.1,8.3534,land,04
1984,0.0692,8.1,8.1692,land,04
1985,0.2565,8.1,8.3565,land,04
1986,0.4725,8.1,8.5725,land,04
1987,0.2773,8.1,8.3773,land,04
1988,0.6390,8.1,8.739,land,04
1989,0.3730,8.1,8.473,land,04
1990,0.7573,8.1,8.8573,land,04
1991,0.7973,8.1,8.8973,land,04
1992,0.1980,8.1,8.298,land,04
1993,0.3892,8.1,8.4892,land,04
1994,0.5741,8.1,8.6741,land,04
1995,0.5922,8.1,8.6922,land,04
1996,0.1044,8.1,8.2044,land,04
1997,0.7199,8.1,8.8199,land,04
1998,1.1896,8.1,9.2896,land,04
1999,0.7677,8.1,8.8677,land,04
2000,1.3466,8.1,9.4466,land,04
2001,0.9190,8.1,9.019,land,04
2002,0.7488,8.1,8.8488,land,04
2003,0.7872,8.1,8.8872,land,04
2004,0.8577,8.1,8.9577,land,04
2005,1.3246,8.1,9.4246,land,04
2006,0.6854,8.1,8.7854,land,04
2007,1.5139,8.1,9.6139,land,04
2008,0.7889,8.1,8.8889,land,04
2009,1.1238,8.1,9.2238,land,04
2010,1.3523,8.1,9.4523,land,04
2011,1.2065,8.1,9.3065,land,04
2012,1.4776,8.1,9.5776,land,04
2013,0.7175,8.1,8.8175,land,04
2014,1.3332,8.1,9.4332,land,04
2015,1.0811,8.1,9.1811,land,04
1880,-0.0623,13.7,13.6377,ocean_land,04
1881,0.0588,13.7,13.7588,ocean_land,04
1882,-0.1339,13.7,13.5661,ocean_land,04
1883,-0.1804,13.7,13.5196,ocean_land,04
1884,-0.1908,13.7,13.5092,ocean_land,04
1885,-0.2704,13.7,13.4296,ocean_land,04
1886,-0.1818,13.7,13.5182,ocean_land,04
1887,-0.2062,13.7,13.4938,ocean_land,04
1888,-0.1887,13.7,13.5113,ocean_land,04
1889,0.0372,13.7,13.7372,ocean_land,04
1890,-0.2748,13.7,13.4252,ocean_land,04
1891,-0.2687,13.7,13.4313,ocean_land,04
1892,-0.3237,13.7,13.3763,ocean_land,04
1893,-0.3564,13.7,13.3436,ocean_land,04
1894,-0.3117,13.7,13.3883,ocean_land,04
1895,-0.1924,13.7,13.5076,ocean_land,04
1896,-0.2704,13.7,13.4296,ocean_land,04
1897,-0.0135,13.7,13.6865,ocean_land,04
1898,-0.3565,13.7,13.3435,ocean_land,04
1899,-0.2012,13.7,13.4988,ocean_land,04
1900,-0.1025,13.7,13.5975,ocean_land,04
1901,-0.0698,13.7,13.6302,ocean_land,04
1902,-0.2733,13.7,13.4267,ocean_land,04
1903,-0.3592,13.7,13.3408,ocean_land,04
1904,-0.4754,13.7,13.2246,ocean_land,04
1905,-0.4496,13.7,13.2504,ocean_land,04
1906,-0.0447,13.7,13.6553,ocean_land,04
1907,-0.3469,13.7,13.3531,ocean_land,04
1908,-0.4791,13.7,13.2209,ocean_land,04
1909,-0.5218,13.7,13.1782,ocean_land,04
1910,-0.3330,13.7,13.367,ocean_land,04
1911,-0.5041,13.7,13.1959,ocean_land,04
1912,-0.1938,13.7,13.5062,ocean_land,04
1913,-0.3435,13.7,13.3565,ocean_land,04
1914,-0.2413,13.7,13.4587,ocean_land,04
1915,0.0276,13.7,13.7276,ocean_land,04
1916,-0.1928,13.7,13.5072,ocean_land,04
1917,-0.3057,13.7,13.3943,ocean_land,04
1918,-0.2894,13.7,13.4106,ocean_land,04
1919,-0.0622,13.7,13.6378,ocean_land,04
1920,-0.2036,13.7,13.4964,ocean_land,04
1921,-0.2003,13.7,13.4997,ocean_land,04
1922,-0.1219,13.7,13.5781,ocean_land,04
1923,-0.3339,13.7,13.3661,ocean_land,04
1924,-0.2394,13.7,13.4606,ocean_land,04
1925,-0.1593,13.7,13.5407,ocean_land,04
1926,-0.1302,13.7,13.5698,ocean_land,04
1927,-0.2128,13.7,13.4872,ocean_land,04
1928,-0.2416,13.7,13.4584,ocean_land,04
1929,-0.2935,13.7,13.4065,ocean_land,04
1930,-0.1901,13.7,13.5099,ocean_land,04
1931,-0.1616,13.7,13.5384,ocean_land,04
1932,-0.0357,13.7,13.6643,ocean_land,04
1933,-0.2082,13.7,13.4918,ocean_land,04
1934,-0.2373,13.7,13.4627,ocean_land,04
1935,-0.2618,13.7,13.4382,ocean_land,04
1936,-0.1862,13.7,13.5138,ocean_land,04
