year,anomaly,historic_avg,actual_avg,type,month
1880,-0.0742,15.9,15.8258,ocean,10
1881,-0.0808,15.9,15.8192,ocean,10
1882,-0.0382,15.9,15.8618,ocean,10
1883,-0.0577,15.9,15.8423,ocean,10
1884,-0.1048,15.9,15.7952,ocean,10
1885,-0.0826,15.9,15.8174,ocean,10
1886,-0.1298,15.9,15.7702,ocean,10
1887,-0.2101,15.9,15.6899,ocean,10
1888,0.0839,15.9,15.9839,ocean,10
1889,-0.1100,15.9,15.79,ocean,10
1890,-0.3190,15.9,15.581,ocean,10
1891,-0.1707,15.9,15.7293,ocean,10
1892,-0.2920,15.9,15.608,ocean,10
1893,-0.2010,15.9,15.699,ocean,10
1894,-0.1856,15.9,15.7144,ocean,10
1895,-0.0852,15.9,15.8148,ocean,10
1896,-0.0204,15.9,15.8796,ocean,10
1897,-0.1367,15.9,15.7633,ocean,10
1898,-0.2347,15.9,15.6653,ocean,10
1899,-0.0436,15.9,15.8564,ocean,10
1900,-0.0013,15.9,15.8987,ocean,10
1901,-0.2525,15.9,15.6475,ocean,10
1902,-0.2165,15.9,15.6835,ocean,10
1903,-0.3723,15.9,15.5277,ocean,10
1904,-0.3724,15.9,15.5276,ocean,10
1905,-0.2486,15.9,15.6514,ocean,10
1906,-0.2940,15.9,15.606,ocean,10
1907,-0.3047,15.9,15.5953,ocean,10
1908,-0.4549,15.9,15.4451,ocean,10
1909,-0.4586,15.9,15.4414,ocean,10
1910,-0.4021,15.9,15.4979,ocean,10
1911,-0.3432,15.9,15.5568,ocean,10
1912,-0.3668,15.9,15.5332,ocean,10
1913,-0.2898,15.9,15.6102,ocean,10
1914,-0.1153,15.9,15.7847,ocean,10
1915,-0.0786,15.9,15.8214,ocean,10
1916,-0.2529,15.9,15.6471,ocean,10
1917,-0.1400,15.9,15.76,ocean,10
1918,-0.1274,15.9,15.7726,ocean,10
1919,-0.1883,15.9,15.7117,ocean,10
1920,-0.1670,15.9,15.733,ocean,10
1921,-0.0548,15.9,15.8452,ocean,10
1922,-0.2368,15.9,15.6632,ocean,10
1923,-0.2376,15.9,15.6624,ocean,10
1924,-0.3361,15.9,15.5639,ocean,10
1925,-0.0917,15.9,15.8083,ocean,10
1926,-0.1300,15.9,15.77,ocean,10
1927,-0.1192,15.9,15.7808,ocean,10
1928,-0.1945,15.9,15.7055,ocean,10
1929,-0.1940,15.9,15.706,ocean,10
1930,0.0297,15.9,15.9297,ocean,10
1931,-0.1401,15.9,15.7599,ocean,10
1932,-0.1938,15.9,15.7062,ocean,10
1933,-0.2481,15.9,15.6519,ocean,10
1934,-0.1030,15.9,15.797,ocean,10
1935,-0.0798,15.9,15.8202,ocean,10
1936,-0.0618,15.9,15.8382,ocean,10
1937,0.0260,15.9,15.926,ocean,10
1938,-0.0520,15.9,15.848,ocean,10
1939,0.0452,15.9,15.9452,ocean,10
1940,0.1476,15.9,16.0476,ocean,10
1941,0.3100,15.9,16.21,ocean,10
1942,0.1198,15.9,16.0198,ocean,10
1943,0.2621,15.9,16.1621,ocean,10
1944,0.2949,15.9,16.1949,ocean,10
1945,0.2716,15.9,16.1716,ocean,10
1946,0.0037,15.9,15.9037,ocean,10
1947,-0.1492,15.9,15.7508,ocean,10
1948,-0.1454,15.9,15.7546,ocean,10
1949,-0.0658,15.9,15.8342,ocean,10
1950,-0.1177,15.9,15.7823,ocean,10
1951,0.0934,15.9,15.9934,ocean,10
1952,0.0656,15.9,15.9656,ocean,10
1953,0.0404,15.9,15.9404,ocean,10
1954,-0.1231,15.9,15.7769,ocean,10
1955,-0.1961,15.9,15.7039,ocean,10
1956,-0.1053,15.9,15.7947,ocean,10
1957,0.0475,15.9,15.9475,ocean,10
1958,0.0875,15.9,15.9875,ocean,10
1959,0.0683,15.9,15.9683,ocean,10
1960,0.0624,15.9,15.9624,ocean,10
1961,0.0488,15.9,15.9488,ocean,10
1962,0.0566,15.9,15.9566,ocean,10
1963,0.0697,15.9,15.9697,ocean,10
1964,-0.1606,15.9,15.7394,ocean,10
1965,-0.0133,15.9,15.8867,ocean,10
1966,-0.0169,15.9,15.8831,ocean,10
1967,-0.0178,15.9,15.8822,ocean,10
1968,0.1167,15.9,16.0167,ocean,10
1969,0.1125,15.9,16.0125,ocean,10
1970,0.0402,15.9,15.9402,ocean,10
1971,-0.0967,15.9,15.8033,ocean,10
1972,0.1508,15.9,16.0508,ocean,10
1973,0.0315,15.9,15.9315,ocean,10
1974,0.0143,15.9,15.9143,ocean,10
1975,-0.1149,15.9,15.7851,ocean,10
1976,0.0706,15.9,15.9706,ocean,10
1977,0.1952,15.9,16.0952,ocean,10
1978,0.0761,15.9,15.9761,ocean,10
1979,0.2900,15.9,16.19,ocean,10
1980,0.1767,15.9,16.0767,ocean,10
1981,0.2133,15.9,16.1133,ocean,10
1982,0.2716,15.9,16.1716,ocean,10
1983,0.2073,15.9,16.1073,ocean,10
1984,0.1430,15.9,16.043,ocean,10
1985,0.1650,15.9,16.065,ocean,10
1986,0.2665,15.9,16.1665,ocean,10
1987,0.4086,15.9,16.3086,ocean,10
1988,0.2497,15.9,16.1497,ocean,10
1989,0.2719,15.9,16.1719,ocean,10
1990,0.3940,15.9,16.294,ocean,10
1991,0.2859,15.9,16.1859,ocean,10
1992,0.1712,15.9,16.0712,ocean,10
1993,0.2397,15.9,16.1397,ocean,10
1994,0.3481,15.9,16.2481,ocean,10
1995,0.3137,15.9,16.2137,ocean,10
1996,0.2638,15.9,16.1638,ocean,10
1997,0.5716,15.9,16.4716,ocean,10
1998,0.4067,15.9,16.3067,ocean,10
1999,0.2727,15.9,16.1727,ocean,10
2000,0.3518,15.9,16.2518,ocean,10
2001,0.4777,15.9,16.3777,ocean,10
2002,0.4766,15.9,16.3766,ocean,10
2003,0.5831,15.9,16.4831,ocean,10
2004,0.5363,15.9,16.4363,ocean,10
2005,0.5216,15.9,16.4216,ocean,10
2006,0.5472,15.9,16.4472,ocean,10
2007,0.4069,15.9,16.3069,ocean,10
2008,0.5036,15.9,16.4036,ocean,10
2009,0.5692,15.9,16.4692,ocean,10
2010,0.4689,15.9,16.3689,ocean,10
2011,0.4439,15.9,16.3439,ocean,10
2012,0.5937,15.9,16.4937,ocean,10
2013,0.5859,15.9,16.4859,ocean,10
2014,0.6965,15.9,16.5965,ocean,10
2015,0.8611,15.9,16.7611,ocean,10
1880,-0.6373,9.3,8.6627,land,10
1881,-0.7626,9.3,8.5374,land,10
1882,-0.8502,9.3,8.4498,land,10
1883,-0.5757,9.3,8.7243,land,10
1884,-0.4549,9.3,8.8451,land,10
1885,-0.3504,9.3,8.9496,land,10
1886,-0.6189,9.3,8.6811,land,10
1887,-0.6345,9.3,8.6655,land,10
1888,-0.2371,9.3,9.0629,land,10
1889,-0.4729,9.3,8.8271,land,10
1890,-0.2690,9.3,9.031,land,10
1891,-0.6529,9.3,8.6471,land,10
1892,-0.1538,9.3,9.1462,land,10
1893,-0.2694,9.3,9.0306,land,10
1894,-0.3230,9.3,8.977,land,10
1895,-0.2934,9.3,9.0066,land,10
1896,0.0165,9.3,9.3165,land,10
1897,-0.2538,9.3,9.0462,land,10
1898,-0.6028,9.3,8.6972,land,10
1899,0.0006,9.3,9.3006,land,10
1900,0.1834,9.3,9.4834,land,10
1901,-0.3760,9.3,8.924,land,10
1902,-0.4802,9.3,8.8198,land,10
1903,-0.6321,9.3,8.6679,land,10
1904,-0.5018,9.3,8.7982,land,10
1905,-0.4082,9.3,8.8918,land,10
1906,-0.2196,9.3,9.0804,land,10
1907,-0.2930,9.3,9.007,land,10
1908,-0.6703,9.3,8.6297,land,10
1909,-0.1807,9.3,9.1193,land,10
1910,-0.4479,9.3,8.8521,land,10
1911,-0.3165,9.3,8.9835,land,10
1912,-0.9174,9.3,8.3826,land,10
1913,-0.3431,9.3,8.9569,land,10
1914,-0.0209,9.3,9.2791,land,10
1915,-0.4077,9.3,8.8923,land,10
1916,-0.2768,9.3,9.0232,land,10
1917,-0.5453,9.3,8.7547,land,10
1918,-0.0034,9.3,9.2966,land,10
1919,-0.2775,9.3,9.0225,land,10
1920,-0.2956,9.3,9.0044,land,10
1921,-0.0746,9.3,9.2254,land,10
1922,-0.2551,9.3,9.0449,land,10
1923,0.0703,9.3,9.3703,land,10
1924,-0.1435,9.3,9.1565,land,10
1925,-0.2070,9.3,9.093,land,10
1926,0.0648,9.3,9.3648,land,10
1927,0.4060,9.3,9.706,land,10
1928,0.0839,9.3,9.3839,land,10
1929,0.0872,9.3,9.3872,land,10
1930,-0.0604,9.3,9.2396,land,10
1931,0.3825,9.3,9.6825,land,10
1932,0.1689,9.3,9.4689,land,10
1933,-0.0297,9.3,9.2703,land,10
1934,0.0085,9.3,9.3085,land,10
1935,0.1534,9.3,9.4534,land,10
1936,0.0664,9.3,9.3664,land,10
1937,0.3159,9.3,9.6159,land,10
1938,0.3803,9.3,9.6803,land,10
1939,-0.2381,9.3,9.0619,land,10
1940,-0.0296,9.3,9.2704,land,10
1941,0.2943,9.3,9.5943,land,10
1942,0.1812,9.3,9.4812,land,10
1943,0.3913,9.3,9.6913,land,10
1944,0.3547,9.3,9.6547,land,10
1945,0.2285,9.3,9.5285,land,10
1946,-0.0488,9.3,9.2512,land,10
1947,0.4922,9.3,9.7922,land,10
1948,0.1071,9.3,9.4071,land,10
1949,0.0430,9.3,9.343,land,10
1950,-0.2927,9.3,9.0073,land,10
1951,0.1401,9.3,9.4401,land,10
1952,-0.2893,9.3,9.0107,land,10
1953,0.1407,9.3,9.4407,land,10
1954,0.0615,9.3,9.3615,land,10
1955,0.0473,9.3,9.3473,land,10
1956,-0.4439,9.3,8.8561,land,10
1957,-0.0773,9.3,9.2227,land,10
1958,-0.0769,9.3,9.2231,land,10
1959,-0.2135,9.3,9.0865,land,10
1960,-0.0187,9.3,9.2813,land,10
1961,-0.2423,9.3,9.0577,land,10
1962,0.1350,9.3,9.435,land,10
1963,0.5646,9.3,9.8646,land,10
1964,-0.5293,9.3,8.7707,land,10
1965,0.1190,9.3,9.419,land,10
1966,-0.1676,9.3,9.1324,land,10
1967,0.4959,9.3,9.7959,land,10
1968,-0.1334,9.3,9.1666,land,10
1969,-0.0362,9.3,9.2638,land,10
1970,-0.2365,9.3,9.0635,land,10
1971,-0.0199,9.3,9.2801,land,10
1972,-0.0738,9.3,9.2262,land,10
1973,0.0723,9.3,9.3723,land,10
1974,-0.3334,9.3,8.9666,land,10
1975,-0.1528,9.3,9.1472,land,10
1976,-0.8416,9.3,8.4584,land,10
1977,-0.0883,9.3,9.2117,land,10
1978,0.0273,9.3,9.3273,land,10
1979,0.3023,9.3,9.6023,land,10
1980,0.1993,9.3,9.4993,land,10
1981,0.0536,9.3,9.3536,land,10
1982,-0.0643,9.3,9.2357,land,10
1983,0.2290,9.3,9.529,land,10
1984,0.0529,9.3,9.3529,land,10
1985,0.0402,9.3,9.3402,land,10
1986,0.0399,9.3,9.3399,land,10
1987,0.1372,9.3,9.4372,land,10
1988,0.4330,9.3,9.733,land,10
1989,0.3826,9.3,9.6826,land,10
1990,0.5082,9.3,9.8082,land,10
1991,0.4391,9.3,9.7391,land,10
1992,-0.0352,9.3,9.2648,land,10
1993,0.2517,9.3,9.5517,land,10
1994,0.6328,9.3,9.9328,land,10
1995,0.7739,9.3,10.0739,land,10
1996,0.1236,9.3,9.4236,land,10
1997,0.8403,9.3,10.1403,land,10
1998,0.7232,9.3,10.0232,land,10
1999,0.6496,9.3,9.9496,land,10
2000,0.1709,9.3,9.4709,land,10
2001,0.5496,9.3,9.8496,land,10
2002,0.4752,9.3,9.7752,land,10
2003,1.1024,9.3,10.4024,land,10
2004,0.8317,9.3,10.1317,land,10
2005,1.1440,9.3,10.444,land,10
2006,1.0328,9.3,10.3328,land,10
2007,0.9920,9.3,10.292,land,10
2008,1.1091,9.3,10.4091,land,10
2009,0.8371,9.3,10.1371,land,10
2010,1.0433,9.3,10.3433,land,10
2011,1.1528,9.3,10.4528,land,10
2012,0.9752,9.3,10.2752,land,10
2013,0.9115,9.3,10.2115,land,10
2014,1.0211,9.3,10.3211,land,10
2015,1.3093,9.3,10.6093,land,10
1880,-0.1922,14,13.8078,ocean_land,10
1881,-0.2315,14,13.7685,ocean_land,10
1882,-0.2177,14,13.7823,ocean_land,10
1883,-0.1706,14,13.8294,ocean_land,10
1884,-0.1836,14,13.8164,ocean_land,10
1885,-0.1425,14,13.8575,ocean_land,10
1886,-0.2395,14,13.7605,ocean_land,10
1887,-0.3090,14,13.691,ocean_land,10
1888,0.0062,14,14.0062,ocean_land,10
1889,-0.2049,14,13.7951,ocean_land,10
1890,-0.3064,14,13.6936,ocean_land,10
1891,-0.3030,14,13.697,ocean_land,10
1892,-0.2581,14,13.7419,ocean_land,10
1893,-0.2203,14,13.7797,ocean_land,10
1894,-0.2234,14,13.7766,ocean_land,10
1895,-0.1390,14,13.861,ocean_land,10
1896,-0.0127,14,13.9873,ocean_land,10
1897,-0.1685,14,13.8315,ocean_land,10
1898,-0.3292,14,13.6708,ocean_land,10
1899,-0.0344,14,13.9656,ocean_land,10
1900,0.0405,14,14.0405,ocean_land,10
1901,-0.2860,14,13.714,ocean_land,10
1902,-0.2869,14,13.7131,ocean_land,10
1903,-0.4397,14,13.5603,ocean_land,10
1904,-0.4074,14,13.5926,ocean_land,10
1905,-0.2929,14,13.7071,ocean_land,10
1906,-0.2739,14,13.7261,ocean_land,10
1907,-0.3020,14,13.698,ocean_land,10
1908,-0.5121,14,13.4879,ocean_land,10
1909,-0.3878,14,13.6122,ocean_land,10
1910,-0.4153,14,13.5847,ocean_land,10
1911,-0.3358,14,13.6642,ocean_land,10
1912,-0.5129,14,13.4871,ocean_land,10
1913,-0.3050,14,13.695,ocean_land,10
1914,-0.0899,14,13.9101,ocean_land,10
1915,-0.1676,14,13.8324,ocean_land,10
1916,-0.2599,14,13.7401,ocean_land,10
1917,-0.2520,14,13.748,ocean_land,10
1918,-0.0875,14,13.9125,ocean_land,10
1919,-0.2146,14,13.7854,ocean_land,10
1920,-0.2024,14,13.7976,ocean_land,10
1921,-0.0610,14,13.939,ocean_land,10
1922,-0.2425,14,13.7575,ocean_land,10
1923,-0.1546,14,13.8454,ocean_land,10
1924,-0.2822,14,13.7178,ocean_land,10
1925,-0.1243,14,13.8757,ocean_land,10
1926,-0.0782,14,13.9218,ocean_land,10
1927,0.0220,14,14.022,ocean_land,10
1928,-0.1194,14,13.8806,ocean_land,10
1929,-0.1170,14,13.883,ocean_land,10
1930,0.0045,14,14.0045,ocean_land,10
1931,0.0097,14,14.0097,ocean_land,10
1932,-0.0942,14,13.9058,ocean_land,10
1933,-0.1873,14,13.8127,ocean_land,10
1934,-0.0720,14,13.928,ocean_land,10
1935,-0.0161,14,13.9839,ocean_land,10
1936,-0.0265,14,13.9735,ocean_land,10
1937,0.1068,14,14.1068,ocean_land,10
1938,0.0706,14,14.0706,ocean_land,10
1939,-0.0450,14,13.955,ocean_land,10
1940,0.0951,14,14.0951,ocean_land,10
1941,0.3059,14,14.3059,ocean_land,10
1942,0.1415,14,14.1415,ocean_land,10
1943,0.3060,14,14.306,ocean_land,10
1944,0.3158,14,14.3158,ocean_land,10
1945,0.2590,14,14.259,ocean_land,10
1946,-0.0117,14,13.9883,ocean_land,10
1947,0.0504,14,14.0504,ocean_land,10
1948,-0.0684,14,13.9316,ocean_land,10
1949,-0.0339,14,13.9661,ocean_land,10
1950,-0.1689,14,13.8311,ocean_land,10
1951,0.1070,14,14.107,ocean_land,10
1952,-0.0376,14,13.9624,ocean_land,10
1953,0.0696,14,14.0696,ocean_land,10
1954,-0.0691,14,13.9309,ocean_land,10
1955,-0.1251,14,13.8749,ocean_land,10
1956,-0.2015,14,13.7985,ocean_land,10
1957,0.0120,14,14.012,ocean_land,10
1958,0.0397,14,14.0397,ocean_land,10
1959,-0.0118,14,13.9882,ocean_land,10
1960,0.0389,14,14.0389,ocean_land,10
1961,-0.0345,14,13.9655,ocean_land,10
1962,0.0789,14,14.0789,ocean_land,10
1963,0.2124,14,14.2124,ocean_land,10
1964,-0.2649,14,13.7351,ocean_land,10
1965,0.0232,14,14.0232,ocean_land,10
1966,-0.0596,14,13.9404,ocean_land,10
1967,0.1284,14,14.1284,ocean_land,10
1968,0.0454,14,14.0454,ocean_land,10
1969,0.0700,14,14.07,ocean_land,10
1970,-0.0379,14,13.9621,ocean_land,10
1971,-0.0761,14,13.9239,ocean_land,10
1972,0.0885,14,14.0885,ocean_land,10
1973,0.0423,14,14.0423,ocean_land,10
1974,-0.0831,14,13.9169,ocean_land,10
1975,-0.1259,14,13.8741,ocean_land,10
1976,-0.1864,14,13.8136,ocean_land,10
1977,0.1150,14,14.115,ocean_land,10
1978,0.0620,14,14.062,ocean_land,10
1979,0.2926,14,14.2926,ocean_land,10
1980,0.1823,14,14.1823,ocean_land,10
1981,0.1689,14,14.1689,ocean_land,10
1982,0.1784,14,14.1784,ocean_land,10
1983,0.2127,14,14.2127,ocean_land,10
1984,0.1177,14,14.1177,ocean_land,10
1985,0.1302,14,14.1302,ocean_land,10
1986,0.2043,14,14.2043,ocean_land,10
1987,0.3340,14,14.334,ocean_land,10
1988,0.2988,14,14.2988,ocean_land,10
1989,0.3013,14,14.3013,ocean_land,10
1990,0.4243,14,14.4243,ocean_land,10
1991,0.3272,14,14.3272,ocean_land,10
1992,0.1138,14,14.1138,ocean_land,10
1993,0.2423,14,14.2423,ocean_land,10
1994,0.4250,14,14.425,ocean_land,10
1995,0.4372,14,14.4372,ocean_land,10
1996,0.2246,14,14.2246,ocean_land,10
1997,0.6440,14,14.644,ocean_land,10
1998,0.4931,14,14.4931,ocean_land,10
1999,0.3745,14,14.3745,ocean_land,10
2000,0.3011,14,14.3011,ocean_land,10
2001,0.4966,14,14.4966,ocean_land,10
2002,0.4755,14,14.4755,ocean_land,10
2003,0.7249,14,14.7249,ocean_land,10
2004,0.6160,14,14.616,ocean_land,10
2005,0.6893,14,14.6893,ocean_land,10
2006,0.6786,14,14.6786,ocean_land,10
2007,0.5647,14,14.5647,ocean_land,10
2008,0.6668,14,14.6668,ocean_land,10
2009,0.6412,14,14.6412,ocean_land,10
2010,0.6243,14,14.6243,ocean_land,10
2011,0.6337,14,14.6337,ocean_land,10
2012,0.6968,14,14.6968,ocean_land,10
2013,0.6747,14,14.6747,ocean_land,10
2014,0.7839,14,14.7839,ocean_land,10
2015,0.9817,14,14.9817,ocean_land,10
