year,anomaly,historic_avg,actual_avg,type,month
1880,0.0246,15.8,15.8246,ocean,01
1881,0.0643,15.8,15.8643,ocean,01
1882,0.0895,15.8,15.8895,ocean,01
1883,-0.0160,15.8,15.784,ocean,01
1884,-0.1342,15.8,15.6658,ocean,01
1885,-0.1992,15.8,15.6008,ocean,01
1886,-0.0412,15.8,15.7588,ocean,01
1887,-0.2230,15.8,15.577,ocean,01
1888,-0.2199,15.8,15.5801,ocean,01
1889,0.0898,15.8,15.8898,ocean,01
1890,-0.2273,15.8,15.5727,ocean,01
1891,-0.2300,15.8,15.57,ocean,01
1892,-0.0879,15.8,15.7121,ocean,01
1893,-0.1912,15.8,15.6088,ocean,01
1894,-0.2911,15.8,15.5089,ocean,01
1895,-0.1377,15.8,15.6623,ocean,01
1896,-0.0895,15.8,15.7105,ocean,01
1897,-0.0068,15.8,15.7932,ocean,01
1898,-0.1427,15.8,15.6573,ocean,01
1899,-0.1314,15.8,15.6686,ocean,01
1900,-0.0545,15.8,15.7455,ocean,01
1901,-0.0581,15.8,15.7419,ocean,01
1902,-0.2021,15.8,15.5979,ocean,01
1903,-0.2344,15.8,15.5656,ocean,01
1904,-0.4179,15.8,15.3821,ocean,01
1905,-0.3521,15.8,15.4479,ocean,01
1906,-0.1294,15.8,15.6706,ocean,01
1907,-0.2657,15.8,15.5343,ocean,01
1908,-0.4040,15.8,15.396,ocean,01
1909,-0.4422,15.8,15.3578,ocean,01
1910,-0.3974,15.8,15.4026,ocean,01
1911,-0.4386,15.8,15.3614,ocean,01
1912,-0.2102,15.8,15.5898,ocean,01
1913,-0.3041,15.8,15.4959,ocean,01
1914,-0.1704,15.8,15.6296,ocean,01
1915,-0.0869,15.8,15.7131,ocean,01
1916,-0.2026,15.8,15.5974,ocean,01
1917,-0.3803,15.8,15.4197,ocean,01
1918,-0.1575,15.8,15.6425,ocean,01
1919,-0.0130,15.8,15.787,ocean,01
1920,-0.1810,15.8,15.619,ocean,01
1921,-0.2110,15.8,15.589,ocean,01
1922,-0.1925,15.8,15.6075,ocean,01
1923,-0.2622,15.8,15.5378,ocean,01
1924,-0.1222,15.8,15.6778,ocean,01
1925,-0.3045,15.8,15.4955,ocean,01
1926,-0.0129,15.8,15.7871,ocean,01
1927,-0.1143,15.8,15.6857,ocean,01
1928,-0.1304,15.8,15.6696,ocean,01
1929,-0.2907,15.8,15.5093,ocean,01
1930,-0.2262,15.8,15.5738,ocean,01
1931,-0.0350,15.8,15.765,ocean,01
1932,-0.1264,15.8,15.6736,ocean,01
1933,-0.1758,15.8,15.6242,ocean,01
1934,-0.2860,15.8,15.514,ocean,01
1935,-0.1778,15.8,15.6222,ocean,01
1936,-0.1427,15.8,15.6573,ocean,01
1937,-0.0623,15.8,15.7377,ocean,01
1938,-0.0852,15.8,15.7148,ocean,01
1939,-0.2810,15.8,15.519,ocean,01
1940,0.0583,15.8,15.8583,ocean,01
1941,0.2685,15.8,16.0685,ocean,01
1942,0.2804,15.8,16.0804,ocean,01
1943,0.1628,15.8,15.9628,ocean,01
1944,0.2709,15.8,16.0709,ocean,01
1945,0.3407,15.8,16.1407,ocean,01
1946,0.1791,15.8,15.9791,ocean,01
1947,-0.1256,15.8,15.6744,ocean,01
1948,-0.1514,15.8,15.6486,ocean,01
1949,-0.0193,15.8,15.7807,ocean,01
1950,-0.0827,15.8,15.7173,ocean,01
1951,-0.1634,15.8,15.6366,ocean,01
1952,0.0965,15.8,15.8965,ocean,01
1953,0.0519,15.8,15.8519,ocean,01
1954,-0.0497,15.8,15.7503,ocean,01
1955,-0.1148,15.8,15.6852,ocean,01
1956,-0.0758,15.8,15.7242,ocean,01
1957,-0.0427,15.8,15.7573,ocean,01
1958,0.1370,15.8,15.937,ocean,01
1959,0.0979,15.8,15.8979,ocean,01
1960,0.0101,15.8,15.8101,ocean,01
1961,0.0583,15.8,15.8583,ocean,01
1962,0.0422,15.8,15.8422,ocean,01
1963,-0.0081,15.8,15.7919,ocean,01
1964,0.0181,15.8,15.8181,ocean,01
1965,-0.1417,15.8,15.6583,ocean,01
1966,-0.0061,15.8,15.7939,ocean,01
1967,-0.0574,15.8,15.7426,ocean,01
1968,-0.1294,15.8,15.6706,ocean,01
1969,0.2203,15.8,16.0203,ocean,01
1970,0.1581,15.8,15.9581,ocean,01
1971,-0.0388,15.8,15.7612,ocean,01
1972,-0.0051,15.8,15.7949,ocean,01
1973,0.2569,15.8,16.0569,ocean,01
1974,-0.0367,15.8,15.7633,ocean,01
1975,0.0282,15.8,15.8282,ocean,01
1976,-0.1181,15.8,15.6819,ocean,01
1977,0.2854,15.8,16.0854,ocean,01
1978,0.1769,15.8,15.9769,ocean,01
1979,0.2447,15.8,16.0447,ocean,01
1980,0.3616,15.8,16.1616,ocean,01
1981,0.2370,15.8,16.037,ocean,01
1982,0.2364,15.8,16.0364,ocean,01
1983,0.3866,15.8,16.1866,ocean,01
1984,0.2479,15.8,16.0479,ocean,01
1985,0.1577,15.8,15.9577,ocean,01
1986,0.1663,15.8,15.9663,ocean,01
1987,0.2642,15.8,16.0642,ocean,01
1988,0.4541,15.8,16.2541,ocean,01
1989,0.1884,15.8,15.9884,ocean,01
1990,0.2955,15.8,16.0955,ocean,01
1991,0.3604,15.8,16.1604,ocean,01
1992,0.2876,15.8,16.0876,ocean,01
1993,0.2646,15.8,16.0646,ocean,01
1994,0.2382,15.8,16.0382,ocean,01
1995,0.3585,15.8,16.1585,ocean,01
1996,0.2753,15.8,16.0753,ocean,01
1997,0.2714,15.8,16.0714,ocean,01
1998,0.5592,15.8,16.3592,ocean,01
1999,0.3151,15.8,16.1151,ocean,01
2000,0.2846,15.8,16.0846,ocean,01
2001,0.3595,15.8,16.1595,ocean,01
2002,0.4290,15.8,16.229,ocean,01
2003,0.4657,15.8,16.2657,ocean,01
2004,0.4857,15.8,16.2857,ocean,01
2005,0.4840,15.8,16.284,ocean,01
2006,0.4359,15.8,16.2359,ocean,01
2007,0.5284,15.8,16.3284,ocean,01
2008,0.3040,15.8,16.104,ocean,01
2009,0.4307,15.8,16.2307,ocean,01
2010,0.6166,15.8,16.4166,ocean,01
2011,0.4310,15.8,16.231,ocean,01
2012,0.3792,15.8,16.1792,ocean,01
2013,0.4664,15.8,16.2664,ocean,01
2014,0.5182,15.8,16.3182,ocean,01
2015,0.6074,15.8,16.4074,ocean,01
2016,0.8508,15.8,16.6508,ocean,01
1880,-0.1796,2.8,2.6204,land,01
1881,-0.4581,2.8,2.3419,land,01
1882,-0.0051,2.8,2.7949,land,01
1883,-1.2617,2.8,1.5383,land,01
1884,-0.4280,2.8,2.372,land,01
1885,-1.3549,2.8,1.4451,land,01
1886,-0.4542,2.8,2.3458,land,01
1887,-1.0698,2.8,1.7302,land,01
1888,-1.0214,2.8,1.7786,land,01
1889,-0.7812,2.8,2.0188,land,01
1890,-0.8523,2.8,1.9477,land,01
1891,-0.8672,2.8,1.9328,land,01
1892,-0.7366,2.8,2.0634,land,01
1893,-2.0670,2.8,0.733,land,01
1894,-0.8730,2.8,1.927,land,01
1895,-1.2790,2.8,1.521,land,01
1896,-0.1795,2.8,2.6205,land,01
1897,-0.7253,2.8,2.0747,land,01
1898,0.2107,2.8,3.0107,land,01
1899,-0.0540,2.8,2.746,land,01
1900,-0.8425,2.8,1.9575,land,01
1901,-0.3795,2.8,2.4205,land,01
1902,0.2221,2.8,3.0221,land,01
1903,-0.1782,2.8,2.6218,land,01
1904,-0.9309,2.8,1.8691,land,01
1905,-0.3729,2.8,2.4271,land,01
1906,-0.3085,2.8,2.4915,land,01
1907,-0.5725,2.8,2.2275,land,01
1908,-0.2364,2.8,2.5636,land,01
1909,-0.8591,2.8,1.9409,land,01
1910,-0.0252,2.8,2.7748,land,01
1911,-0.7043,2.8,2.0957,land,01
1912,-0.4494,2.8,2.3506,land,01
1913,-0.4759,2.8,2.3241,land,01
1914,0.8593,2.8,3.6593,land,01
1915,-0.2744,2.8,2.5256,land,01
1916,-0.1114,2.8,2.6886,land,01
1917,-0.5297,2.8,2.2703,land,01
1918,-0.3234,2.8,2.4766,land,01
1919,-0.7013,2.8,2.0987,land,01
1920,0.0750,2.8,2.875,land,01
1921,0.3768,2.8,3.1768,land,01
1922,-0.6740,2.8,2.126,land,01
1923,-0.0738,2.8,2.7262,land,01
1924,-0.5953,2.8,2.2047,land,01
1925,-0.3654,2.8,2.4346,land,01
1926,0.6775,2.8,3.4775,land,01
1927,-0.3108,2.8,2.4892,land,01
1928,0.0721,2.8,2.8721,land,01
1929,-0.9977,2.8,1.8023,land,01
1930,-0.6432,2.8,2.1568,land,01
1931,-0.0824,2.8,2.7176,land,01
1932,0.8870,2.8,3.687,land,01
1933,-0.6881,2.8,2.1119,land,01
1934,-0.3893,2.8,2.4107,land,01
1935,-0.5948,2.8,2.2052,land,01
1936,-0.5743,2.8,2.2257,land,01
1937,-0.4730,2.8,2.327,land,01
1938,0.0728,2.8,2.8728,land,01
1939,0.1340,2.8,2.934,land,01
1940,-0.5695,2.8,2.2305,land,01
1941,-0.0112,2.8,2.7888,land,01
1942,0.3466,2.8,3.1466,land,01
1943,-0.4141,2.8,2.3859,land,01
1944,0.7621,2.8,3.5621,land,01
1945,-0.2101,2.8,2.5899,land,01
1946,0.3383,2.8,3.1383,land,01
1947,-0.3378,2.8,2.4622,land,01
1948,0.5500,2.8,3.35,land,01
1949,0.4657,2.8,3.2657,land,01
1950,-0.7793,2.8,2.0207,land,01
1951,-0.6162,2.8,2.1838,land,01
1952,0.2950,2.8,3.095,land,01
1953,0.2407,2.8,3.0407,land,01
1954,-0.7051,2.8,2.0949,land,01
1955,0.6247,2.8,3.4247,land,01
1956,-0.4442,2.8,2.3558,land,01
1957,-0.3278,2.8,2.4722,land,01
1958,0.7265,2.8,3.5265,land,01
1959,0.1984,2.8,2.9984,land,01
1960,-0.0095,2.8,2.7905,land,01
1961,0.2846,2.8,3.0846,land,01
1962,0.3798,2.8,3.1798,land,01
1963,0.1639,2.8,2.9639,land,01
1964,0.1267,2.8,2.9267,land,01
1965,0.1140,2.8,2.914,land,01
1966,-0.1561,2.8,2.6439,land,01
1967,-0.2476,2.8,2.5524,land,01
1968,-0.3551,2.8,2.4449,land,01
1969,-1.0993,2.8,1.7007,land,01
1970,0.0143,2.8,2.8143,land,01
1971,0.0806,2.8,2.8806,land,01
1972,-0.8939,2.8,1.9061,land,01
1973,0.2547,2.8,3.0547,land,01
1974,-0.6384,2.8,2.1616,land,01
1975,0.3545,2.8,3.1545,land,01
1976,0.2407,2.8,3.0407,land,01
1977,-0.5559,2.8,2.2441,land,01
1978,0.1073,2.8,2.9073,land,01
1979,-0.0772,2.8,2.7228,land,01
1980,0.1540,2.8,2.954,land,01
1981,1.0936,2.8,3.8936,land,01
1982,-0.1482,2.8,2.6518,land,01
1983,0.8484,2.8,3.6484,land,01
1984,0.3714,2.8,3.1714,land,01
1985,0.2374,2.8,3.0374,land,01
1986,0.7604,2.8,3.5604,land,01
1987,0.4394,2.8,3.2394,land,01
1988,0.8014,2.8,3.6014,land,01
1989,0.2829,2.8,3.0829,land,01
1990,0.5355,2.8,3.3355,land,01
1991,0.6994,2.8,3.4994,land,01
1992,0.9671,2.8,3.7671,land,01
1993,0.6895,2.8,3.4895,land,01
1994,0.4179,2.8,3.2179,land,01
1995,1.0617,2.8,3.8617,land,01
1996,0.2180,2.8,3.018,land,01
1997,0.6478,2.8,3.4478,land,01
1998,0.7278,2.8,3.5278,land,01
1999,0.9967,2.8,3.7967,land,01
2000,0.4956,2.8,3.2956,land,01
2001,0.7680,2.8,3.568,land,01
2002,1.4123,2.8,4.2123,land,01
2003,1.2852,2.8,4.0852,land,01
2004,0.8871,2.8,3.6871,land,01
2005,1.0101,2.8,3.8101,land,01
2006,0.5213,2.8,3.3213,land,01
2007,1.8578,2.8,4.6578,land,01
2008,0.1874,2.8,2.9874,land,01
2009,1.0355,2.8,3.8355,land,01
2010,0.9288,2.8,3.7288,land,01
2011,0.5714,2.8,3.3714,land,01
2012,0.5348,2.8,3.3348,land,01
2013,0.9021,2.8,3.7021,land,01
2014,1.1756,2.8,3.9756,land,01
2015,1.3869,2.8,4.1869,land,01
2016,1.5675,2.8,4.3675,land,01
1880,-0.0104,12,11.9896,ocean_land,01
1881,-0.0332,12,11.9668,ocean_land,01
1882,0.0813,12,12.0813,ocean_land,01
1883,-0.2759,12,11.7241,ocean_land,01
