year,anomaly,historic_avg,actual_avg,type,month
1880,-0.0560,16.3,16.244,ocean,05
1881,0.0346,16.3,16.3346,ocean,05
1882,-0.0657,16.3,16.2343,ocean,05
1883,-0.0611,16.3,16.2389,ocean,05
1884,-0.0476,16.3,16.2524,ocean,05
1885,-0.2179,16.3,16.0821,ocean,05
1886,-0.1080,16.3,16.192,ocean,05
1887,-0.2681,16.3,16.0319,ocean,05
1888,-0.0843,16.3,16.2157,ocean,05
1889,0.0152,16.3,16.3152,ocean,05
1890,-0.2992,16.3,16.0008,ocean,05
1891,-0.0638,16.3,16.2362,ocean,05
1892,-0.2343,16.3,16.0657,ocean,05
1893,-0.2465,16.3,16.0535,ocean,05
1894,-0.3304,16.3,15.9696,ocean,05
1895,-0.1986,16.3,16.1014,ocean,05
1896,-0.0905,16.3,16.2095,ocean,05
1897,-0.0437,16.3,16.2563,ocean,05
1898,-0.2388,16.3,16.0612,ocean,05
1899,-0.1284,16.3,16.1716,ocean,05
1900,-0.0851,16.3,16.2149,ocean,05
1901,-0.1422,16.3,16.1578,ocean,05
1902,-0.2532,16.3,16.0468,ocean,05
1903,-0.3386,16.3,15.9614,ocean,05
1904,-0.4654,16.3,15.8346,ocean,05
1905,-0.2637,16.3,16.0363,ocean,05
1906,-0.3008,16.3,15.9992,ocean,05
1907,-0.2928,16.3,16.0072,ocean,05
1908,-0.4321,16.3,15.8679,ocean,05
1909,-0.4179,16.3,15.8821,ocean,05
1910,-0.3462,16.3,15.9538,ocean,05
1911,-0.5344,16.3,15.7656,ocean,05
1912,-0.2090,16.3,16.091,ocean,05
1913,-0.3287,16.3,15.9713,ocean,05
1914,-0.2234,16.3,16.0766,ocean,05
1915,-0.0866,16.3,16.2134,ocean,05
1916,-0.2271,16.3,16.0729,ocean,05
1917,-0.3008,16.3,15.9992,ocean,05
1918,-0.1366,16.3,16.1634,ocean,05
1919,-0.1167,16.3,16.1833,ocean,05
1920,-0.1687,16.3,16.1313,ocean,05
1921,-0.2952,16.3,16.0048,ocean,05
1922,-0.3052,16.3,15.9948,ocean,05
1923,-0.2053,16.3,16.0947,ocean,05
1924,-0.1469,16.3,16.1531,ocean,05
1925,-0.1976,16.3,16.1024,ocean,05
1926,-0.0666,16.3,16.2334,ocean,05
1927,-0.1991,16.3,16.1009,ocean,05
1928,-0.2173,16.3,16.0827,ocean,05
1929,-0.2998,16.3,16.0002,ocean,05
1930,-0.1762,16.3,16.1238,ocean,05
1931,-0.1041,16.3,16.1959,ocean,05
1932,-0.1844,16.3,16.1156,ocean,05
1933,-0.2003,16.3,16.0997,ocean,05
1934,-0.1781,16.3,16.1219,ocean,05
1935,-0.1518,16.3,16.1482,ocean,05
1936,-0.1535,16.3,16.1465,ocean,05
1937,-0.0653,16.3,16.2347,ocean,05
1938,-0.0975,16.3,16.2025,ocean,05
1939,-0.1196,16.3,16.1804,ocean,05
1940,0.1325,16.3,16.4325,ocean,05
1941,0.2798,16.3,16.5798,ocean,05
1942,0.2497,16.3,16.5497,ocean,05
1943,0.1114,16.3,16.4114,ocean,05
1944,0.3414,16.3,16.6414,ocean,05
1945,0.3366,16.3,16.6366,ocean,05
1946,-0.0111,16.3,16.2889,ocean,05
1947,-0.0380,16.3,16.262,ocean,05
1948,0.0999,16.3,16.3999,ocean,05
1949,-0.0566,16.3,16.2434,ocean,05
1950,-0.0697,16.3,16.2303,ocean,05
1951,0.0096,16.3,16.3096,ocean,05
1952,0.0472,16.3,16.3472,ocean,05
1953,0.1295,16.3,16.4295,ocean,05
1954,-0.1128,16.3,16.1872,ocean,05
1955,-0.1430,16.3,16.157,ocean,05
1956,-0.1485,16.3,16.1515,ocean,05
1957,0.1794,16.3,16.4794,ocean,05
1958,0.0840,16.3,16.384,ocean,05
1959,0.0799,16.3,16.3799,ocean,05
1960,0.0643,16.3,16.3643,ocean,05
1961,0.1414,16.3,16.4414,ocean,05
1962,0.0734,16.3,16.3734,ocean,05
1963,0.0839,16.3,16.3839,ocean,05
1964,-0.0959,16.3,16.2041,ocean,05
1965,-0.0843,16.3,16.2157,ocean,05
1966,-0.0392,16.3,16.2608,ocean,05
1967,0.0496,16.3,16.3496,ocean,05
1968,-0.0273,16.3,16.2727,ocean,05
1969,0.2408,16.3,16.5408,ocean,05
1970,0.0589,16.3,16.3589,ocean,05
1971,-0.0871,16.3,16.2129,ocean,05
1972,0.0522,16.3,16.3522,ocean,05
1973,0.1707,16.3,16.4707,ocean,05
1974,-0.0085,16.3,16.2915,ocean,05
1975,0.0021,16.3,16.3021,ocean,05
1976,-0.0975,16.3,16.2025,ocean,05
1977,0.1806,16.3,16.4806,ocean,05
1978,0.0797,16.3,16.3797,ocean,05
1979,0.1900,16.3,16.49,ocean,05
1980,0.2803,16.3,16.5803,ocean,05
1981,0.2439,16.3,16.5439,ocean,05
1982,0.2226,16.3,16.5226,ocean,05
1983,0.2966,16.3,16.5966,ocean,05
1984,0.1735,16.3,16.4735,ocean,05
1985,0.1640,16.3,16.464,ocean,05
1986,0.2000,16.3,16.5,ocean,05
1987,0.3162,16.3,16.6162,ocean,05
1988,0.3310,16.3,16.631,ocean,05
1989,0.2397,16.3,16.5397,ocean,05
1990,0.3910,16.3,16.691,ocean,05
1991,0.3844,16.3,16.6844,ocean,05
1992,0.3340,16.3,16.634,ocean,05
1993,0.3218,16.3,16.6218,ocean,05
1994,0.3027,16.3,16.6027,ocean,05
1995,0.3272,16.3,16.6272,ocean,05
1996,0.3192,16.3,16.6192,ocean,05
1997,0.4162,16.3,16.7162,ocean,05
1998,0.5736,16.3,16.8736,ocean,05
1999,0.3172,16.3,16.6172,ocean,05
2000,0.3442,16.3,16.6442,ocean,05
2001,0.4542,16.3,16.7542,ocean,05
2002,0.5039,16.3,16.8039,ocean,05
2003,0.4780,16.3,16.778,ocean,05
2004,0.4371,16.3,16.7371,ocean,05
2005,0.5346,16.3,16.8346,ocean,05
2006,0.4919,16.3,16.7919,ocean,05
2007,0.4397,16.3,16.7397,ocean,05
2008,0.4047,16.3,16.7047,ocean,05
2009,0.5293,16.3,16.8293,ocean,05
2010,0.6092,16.3,16.9092,ocean,05
2011,0.4772,16.3,16.7772,ocean,05
2012,0.5074,16.3,16.8074,ocean,05
2013,0.5451,16.3,16.8451,ocean,05
2014,0.6465,16.3,16.9465,ocean,05
2015,0.7162,16.3,17.0162,ocean,05
1880,-0.2326,11.1,10.8674,land,05
1881,-0.0768,11.1,11.0232,land,05
1882,-0.5248,11.1,10.5752,land,05
1883,-0.5015,11.1,10.5985,land,05
1884,-0.5160,11.1,10.584,land,05
1885,-0.6101,11.1,10.4899,land,05
1886,-0.4197,11.1,10.6803,land,05
1887,-0.2286,11.1,10.8714,land,05
1888,-0.4854,11.1,10.6146,land,05
1889,-0.2310,11.1,10.869,land,05
1890,-0.7149,11.1,10.3851,land,05
1891,-0.4002,11.1,10.6998,land,05
1892,-0.5288,11.1,10.5712,land,05
1893,-0.6410,11.1,10.459,land,05
1894,-0.2672,11.1,10.8328,land,05
1895,-0.2716,11.1,10.8284,land,05
1896,-0.1599,11.1,10.9401,land,05
1897,-0.0169,11.1,11.0831,land,05
1898,-0.4932,11.1,10.6068,land,05
1899,-0.1444,11.1,10.9556,land,05
1900,0.0637,11.1,11.1637,land,05
1901,-0.1123,11.1,10.9877,land,05
1902,-0.3248,11.1,10.7752,land,05
1903,-0.5795,11.1,10.5205,land,05
1904,-0.3466,11.1,10.7534,land,05
1905,-0.3842,11.1,10.7158,land,05
1906,0.0336,11.1,11.1336,land,05
1907,-0.9653,11.1,10.1347,land,05
1908,-0.3126,11.1,10.7874,land,05
1909,-0.5351,11.1,10.5649,land,05
1910,-0.1767,11.1,10.9233,land,05
1911,-0.2991,11.1,10.8009,land,05
1912,-0.2512,11.1,10.8488,land,05
1913,-0.5612,11.1,10.5388,land,05
1914,0.0122,11.1,11.1122,land,05
1915,-0.0076,11.1,11.0924,land,05
1916,-0.2039,11.1,10.8961,land,05
1917,-0.7582,11.1,10.3418,land,05
1918,-0.5704,11.1,10.5296,land,05
1919,-0.3243,11.1,10.7757,land,05
1920,-0.1572,11.1,10.9428,land,05
1921,0.1072,11.1,11.2072,land,05
1922,-0.1405,11.1,10.9595,land,05
1923,-0.3596,11.1,10.7404,land,05
1924,-0.2915,11.1,10.8085,land,05
1925,-0.2674,11.1,10.8326,land,05
1926,-0.2927,11.1,10.8073,land,05
1927,-0.2796,11.1,10.8204,land,05
1928,-0.0946,11.1,11.0054,land,05
1929,-0.2502,11.1,10.8498,land,05
1930,-0.2565,11.1,10.8435,land,05
1931,-0.2869,11.1,10.8131,land,05
1932,-0.1192,11.1,10.9808,land,05
1933,-0.2469,11.1,10.8531,land,05
1934,0.2788,11.1,11.3788,land,05
1935,-0.3486,11.1,10.7514,land,05
1936,-0.0331,11.1,11.0669,land,05
1937,0.0700,11.1,11.17,land,05
1938,0.1508,11.1,11.2508,land,05
1939,0.1579,11.1,11.2579,land,05
1940,-0.1669,11.1,10.9331,land,05
1941,0.1471,11.1,11.2471,land,05
1942,-0.0513,11.1,11.0487,land,05
1943,0.1662,11.1,11.2662,land,05
1944,0.0941,11.1,11.1941,land,05
1945,-0.1349,11.1,10.9651,land,05
1946,-0.0725,11.1,11.0275,land,05
1947,0.0149,11.1,11.1149,land,05
1948,0.2495,11.1,11.3495,land,05
1949,0.1094,11.1,11.2094,land,05
1950,-0.0189,11.1,11.0811,land,05
1951,0.1620,11.1,11.262,land,05
1952,0.0022,11.1,11.1022,land,05
1953,0.1793,11.1,11.2793,land,05
1954,-0.4173,11.1,10.6827,land,05
1955,-0.0834,11.1,11.0166,land,05
1956,-0.4169,11.1,10.6831,land,05
1957,-0.0591,11.1,11.0409,land,05
1958,0.1503,11.1,11.2503,land,05
1959,-0.0951,11.1,11.0049,land,05
