year,anomaly,historic_avg,actual_avg,type,month
1880,-0.1734,2.8,2.6266,land,01
1880,-0.5683,3.2,2.6317,land,02
1880,-0.7399,5,4.2601,land,03
1880,-0.3252,8.1,7.7748,land,04
1880,-0.2198,11.1,10.8802,land,05
1880,-0.3053,13.3,12.9947,land,06
1880,-0.3485,14.3,13.9515,land,07
1880,-0.3168,13.8,13.4832,land,08
1880,-0.3928,12,11.6072,land,09
1880,-0.6388,9.3,8.6612,land,10
1880,-0.9657,5.9,4.9343,land,11
1880,-0.5868,3.7,3.1132,land,12
1881,-0.4319,2.8,2.3681,land,01
1881,-0.5117,3.2,2.6883,land,02
1881,-0.3000,5,4.7,land,03
1881,-0.1651,8.1,7.9349,land,04
1881,-0.0767,11.1,11.0233,land,05
1881,-0.5472,13.3,12.7528,land,06
1881,-0.3480,14.3,13.952,land,07
1881,-0.1546,13.8,13.6454,land,08
1881,-0.5790,12,11.421,land,09
1881,-0.7659,9.3,8.5341,land,10
1881,-0.9217,5.9,4.9783,land,11
1881,-0.3731,3.7,3.3269,land,12
1882,-0.0069,2.8,2.7931,land,01
1882,-0.2164,3.2,2.9836,land,02
1882,-0.0071,5,4.9929,land,03
1882,-0.7046,8.1,7.3954,land,04
1882,-0.5250,11.1,10.575,land,05
1882,-0.5561,13.3,12.7439,land,06
1882,-0.5418,14.3,13.7582,land,07
1882,-0.0736,13.8,13.7264,land,08
1882,-0.1761,12,11.8239,land,09
1882,-0.8598,9.3,8.4402,land,10
1882,-0.4389,5.9,5.4611,land,11
1882,-0.6778,3.7,3.0222,land,12
1883,-1.2621,2.8,1.5379,land,01
1883,-1.3877,3.2,1.8123,land,02
1883,-0.5403,5,4.4597,land,03
1883,-0.6210,8.1,7.479,land,04
1883,-0.4957,11.1,10.6043,land,05
1883,-0.0843,13.3,13.2157,land,06
1883,-0.3578,14.3,13.9422,land,07
1883,-0.3022,13.8,13.4978,land,08
1883,-0.4975,12,11.5025,land,09
1883,-0.5753,9.3,8.7247,land,10
1883,-0.7140,5.9,5.186,land,11
1883,-0.2441,3.7,3.4559,land,12
1884,-0.4257,2.8,2.3743,land,01
1884,-0.7196,3.2,2.4804,land,02
1884,-0.8924,5,4.1076,land,03
1884,-0.7300,8.1,7.37,land,04
1884,-0.5131,11.1,10.5869,land,05
1884,-0.4599,13.3,12.8401,land,06
1884,-0.6810,14.3,13.619,land,07
1884,-0.6936,13.8,13.1064,land,08
1884,-0.6322,12,11.3678,land,09
1884,-0.4475,9.3,8.8525,land,10
1884,-0.6815,5.9,5.2185,land,11
1884,-0.3111,3.7,3.3889,land,12
1885,-1.3385,2.8,1.4615,land,01
1885,-0.7907,3.2,2.4093,land,02
1885,-0.3401,5,4.6599,land,03
1885,-0.5877,8.1,7.5123,land,04
1885,-0.5909,11.1,10.5091,land,05
1885,-0.6270,13.3,12.673,land,06
1885,-0.5202,14.3,13.7798,land,07
1885,-0.6251,13.8,13.1749,land,08
1885,-0.3811,12,11.6189,land,09
1885,-0.3289,9.3,8.9711,land,10
1885,-0.2186,5.9,5.6814,land,11
1885,0.2515,3.7,3.9515,land,12
1886,-0.4210,2.8,2.379,land,01
1886,-0.9795,3.2,2.2205,land,02
1886,-0.8250,5,4.175,land,03
1886,-0.3599,8.1,7.7401,land,04
1886,-0.3901,11.1,10.7099,land,05
1886,-0.5344,13.3,12.7656,land,06
1886,-0.2087,14.3,14.0913,land,07
1886,-0.2944,13.8,13.5056,land,08
1886,-0.3305,12,11.6695,land,09
1886,-0.5921,9.3,8.7079,land,10
1886,-0.5879,5.9,5.3121,land,11
1886,-0.0248,3.7,3.6752,land,12
1887,-1.0298,2.8,1.7702,land,01
1887,-0.8853,3.2,2.3147,land,02
1887,-0.2647,5,4.7353,land,03
1887,-0.3201,8.1,7.7799,land,04
1887,-0.1868,11.1,10.9132,land,05
1887,-0.4526,13.3,12.8474,land,06
1887,-0.4042,14.3,13.8958,land,07
1887,-0.6403,13.8,13.1597,land,08
1887,-0.1674,12,11.8326,land,09
1887,-0.6134,9.3,8.6866,land,10
1887,-0.1479,5.9,5.7521,land,11
1887,-0.2578,3.7,3.4422,land,12
1888,-1.0059,2.8,1.7941,land,01
1888,-0.8284,3.2,2.3716,land,02
1888,-0.7881,5,4.2119,land,03
1888,-0.2358,8.1,7.8642,land,04
1888,-0.4726,11.1,10.6274,land,05
1888,-0.3266,13.3,12.9734,land,06
1888,-0.2637,14.3,14.0363,land,07
1888,-0.5102,13.8,13.2898,land,08
1888,-0.2526,12,11.7474,land,09
1888,-0.2220,9.3,9.078,land,10
1888,-0.4570,5.9,5.443,land,11
1888,-0.1994,3.7,3.5006,land,12
1889,-0.7633,2.8,2.0367,land,01
1889,-0.1568,3.2,3.0432,land,02
1889,0.1452,5,5.1452,land,03
1889,0.2007,8.1,8.3007,land,04
1889,-0.2184,11.1,10.8816,land,05
1889,-0.1699,13.3,13.1301,land,06
1889,-0.3044,14.3,13.9956,land,07
1889,-0.2319,13.8,13.5681,land,08
1889,-0.4184,12,11.5816,land,09
1889,-0.4575,9.3,8.8425,land,10
1889,-0.9099,5.9,4.9901,land,11
1889,-0.4257,3.7,3.2743,land,12
1890,-0.8347,2.8,1.9653,land,01
1890,-0.8949,3.2,2.3051,land,02
1890,-0.5373,5,4.4627,land,03
1890,-0.3034,8.1,7.7966,land,04
1890,-0.6980,11.1,10.402,land,05
1890,-0.3906,13.3,12.9094,land,06
1890,-0.2179,14.3,14.0821,land,07
1890,-0.3755,13.8,13.4245,land,08
1890,-0.3476,12,11.6524,land,09
1890,-0.2564,9.3,9.0436,land,10
1890,-0.7236,5.9,5.1764,land,11
1890,-0.4314,3.7,3.2686,land,12
1891,-0.8566,2.8,1.9434,land,01
1891,-1.3863,3.2,1.8137,land,02
1891,-0.4500,5,4.55,land,03
1891,-0.6223,8.1,7.4777,land,04
1891,-0.3858,11.1,10.7142,land,05
1891,-0.5343,13.3,12.7657,land,06
1891,-0.4337,14.3,13.8663,land,07
1891,-0.4255,13.8,13.3745,land,08
1891,-0.2126,12,11.7874,land,09
1891,-0.6384,9.3,8.6616,land,10
1891,-0.9079,5.9,4.9921,land,11
1891,0.1243,3.7,3.8243,land,12
1892,-0.7180,2.8,2.082,land,01
1892,-0.3512,3.2,2.8488,land,02
1892,-0.8302,5,4.1698,land,03
1892,-0.6865,8.1,7.4135,land,04
1892,-0.4971,11.1,10.6029,land,05
1892,-0.3008,13.3,12.9992,land,06
1892,-0.3539,14.3,13.9461,land,07
1892,-0.3189,13.8,13.4811,land,08
1892,-0.1302,12,11.8698,land,09
1892,-0.1426,9.3,9.1574,land,10
1892,-1.0477,5.9,4.8523,land,11
1892,-0.9219,3.7,2.7781,land,12
1893,-2.0460,2.8,0.754,land,01
1893,-1.6752,3.2,1.5248,land,02
1893,-0.2297,5,4.7703,land,03
1893,-0.4419,8.1,7.6581,land,04
1893,-0.6080,11.1,10.492,land,05
1893,-0.3024,13.3,12.9976,land,06
1893,-0.1780,14.3,14.122,land,07
1893,-0.4429,13.8,13.3571,land,08
1893,-0.2868,12,11.7132,land,09
1893,-0.2436,9.3,9.0564,land,10
1893,-0.1041,5.9,5.7959,land,11
1893,-0.2788,3.7,3.4212,land,12
1894,-0.8532,2.8,1.9468,land,01
1894,-0.0769,3.2,3.1231,land,02
1894,0.0083,5,5.0083,land,03
1894,-0.4705,8.1,7.6295,land,04
1894,-0.2421,11.1,10.8579,land,05
1894,-0.4676,13.3,12.8324,land,06
1894,-0.3114,14.3,13.9886,land,07
1894,-0.3185,13.8,13.4815,land,08
1894,-0.3966,12,11.6034,land,09
1894,-0.2977,9.3,9.0023,land,10
1894,-0.5369,5.9,5.3631,land,11
1894,-0.3186,3.7,3.3814,land,12
1895,-1.2569,2.8,1.5431,land,01
1895,-1.0972,3.2,2.1028,land,02
1895,-0.3328,5,4.6672,land,03
1895,-0.0679,8.1,8.0321,land,04
1895,-0.2381,11.1,10.8619,land,05
1895,-0.4465,13.3,12.8535,land,06
1895,-0.2920,14.3,14.008,land,07
1895,-0.3747,13.8,13.4253,land,08
1895,-0.1595,12,11.8405,land,09
1895,-0.2601,9.3,9.0399,land,10
1895,-0.3183,5.9,5.5817,land,11
1895,-0.1343,3.7,3.5657,land,12
1896,-0.1571,2.8,2.6429,land,01
1896,-0.1072,3.2,3.0928,land,02
1896,-0.5638,5,4.4362,land,03
1896,-0.6956,8.1,7.4044,land,04
1896,-0.1342,11.1,10.9658,land,05
1896,-0.1821,13.3,13.1179,land,06
1896,-0.1701,14.3,14.1299,land,07
1896,-0.1799,13.8,13.6201,land,08
1896,-0.2794,12,11.7206,land,09
1896,0.0421,9.3,9.3421,land,10
1896,-0.8013,5.9,5.0987,land,11
1896,-0.1292,3.7,3.5708,land,12
1897,-0.6966,2.8,2.1034,land,01
1897,-0.5334,3.2,2.6666,land,02
1897,-0.9888,5,4.0112,land,03
1897,-0.0312,8.1,8.0688,land,04
1897,0.0196,11.1,11.1196,land,05
