year,anomaly,historic_avg,actual_avg,type,month
1880,-0.0241,16.4,16.3759,ocean,08
1881,-0.0331,16.4,16.3669,ocean,08
1882,0.0017,16.4,16.4017,ocean,08
1883,0.0044,16.4,16.4044,ocean,08
1884,-0.1686,16.4,16.2314,ocean,08
1885,-0.1510,16.4,16.249,ocean,08
1886,-0.2007,16.4,16.1993,ocean,08
1887,-0.2223,16.4,16.1777,ocean,08
1888,-0.0729,16.4,16.3271,ocean,08
1889,-0.1252,16.4,16.2748,ocean,08
1890,-0.3220,16.4,16.078,ocean,08
1891,-0.1584,16.4,16.2416,ocean,08
1892,-0.3510,16.4,16.049,ocean,08
1893,-0.2877,16.4,16.1123,ocean,08
1894,-0.2577,16.4,16.1423,ocean,08
1895,-0.1677,16.4,16.2323,ocean,08
1896,-0.0285,16.4,16.3715,ocean,08
1897,-0.0386,16.4,16.3614,ocean,08
1898,-0.2272,16.4,16.1728,ocean,08
1899,-0.0348,16.4,16.3652,ocean,08
1900,-0.0656,16.4,16.3344,ocean,08
1901,-0.1627,16.4,16.2373,ocean,08
1902,-0.2215,16.4,16.1785,ocean,08
1903,-0.4164,16.4,15.9836,ocean,08
1904,-0.4417,16.4,15.9583,ocean,08
1905,-0.2047,16.4,16.1953,ocean,08
1906,-0.2650,16.4,16.135,ocean,08
1907,-0.3314,16.4,16.0686,ocean,08
1908,-0.4732,16.4,15.9268,ocean,08
1909,-0.4076,16.4,15.9924,ocean,08
1910,-0.3902,16.4,16.0098,ocean,08
1911,-0.4671,16.4,15.9329,ocean,08
1912,-0.3503,16.4,16.0497,ocean,08
1913,-0.3629,16.4,16.0371,ocean,08
1914,-0.1736,16.4,16.2264,ocean,08
1915,-0.0654,16.4,16.3346,ocean,08
1916,-0.2991,16.4,16.1009,ocean,08
1917,-0.1217,16.4,16.2783,ocean,08
1918,-0.1792,16.4,16.2208,ocean,08
1919,-0.2680,16.4,16.132,ocean,08
1920,-0.2613,16.4,16.1387,ocean,08
1921,-0.1615,16.4,16.2385,ocean,08
1922,-0.2926,16.4,16.1074,ocean,08
1923,-0.3036,16.4,16.0964,ocean,08
1924,-0.3251,16.4,16.0749,ocean,08
1925,-0.1728,16.4,16.2272,ocean,08
1926,-0.0873,16.4,16.3127,ocean,08
1927,-0.1128,16.4,16.2872,ocean,08
1928,-0.2259,16.4,16.1741,ocean,08
1929,-0.2447,16.4,16.1553,ocean,08
1930,-0.1195,16.4,16.2805,ocean,08
1931,-0.0673,16.4,16.3327,ocean,08
1932,-0.2115,16.4,16.1885,ocean,08
1933,-0.2276,16.4,16.1724,ocean,08
1934,-0.0661,16.4,16.3339,ocean,08
1935,-0.1345,16.4,16.2655,ocean,08
1936,-0.0962,16.4,16.3038,ocean,08
1937,0.0543,16.4,16.4543,ocean,08
1938,-0.0828,16.4,16.3172,ocean,08
1939,0.0137,16.4,16.4137,ocean,08
1940,0.1312,16.4,16.5312,ocean,08
1941,0.1644,16.4,16.5644,ocean,08
1942,0.1010,16.4,16.501,ocean,08
1943,0.1906,16.4,16.5906,ocean,08
1944,0.3523,16.4,16.7523,ocean,08
1945,0.3452,16.4,16.7452,ocean,08
1946,-0.0801,16.4,16.3199,ocean,08
1947,-0.0676,16.4,16.3324,ocean,08
1948,-0.0464,16.4,16.3536,ocean,08
1949,-0.0402,16.4,16.3598,ocean,08
1950,-0.0367,16.4,16.3633,ocean,08
1951,0.1253,16.4,16.5253,ocean,08
1952,0.0885,16.4,16.4885,ocean,08
1953,0.0736,16.4,16.4736,ocean,08
1954,-0.1258,16.4,16.2742,ocean,08
1955,-0.0785,16.4,16.3215,ocean,08
1956,-0.0987,16.4,16.3013,ocean,08
1957,0.1771,16.4,16.5771,ocean,08
1958,0.1012,16.4,16.5012,ocean,08
1959,0.0687,16.4,16.4687,ocean,08
1960,0.0770,16.4,16.477,ocean,08
1961,0.0433,16.4,16.4433,ocean,08
1962,0.0925,16.4,16.4925,ocean,08
1963,0.1383,16.4,16.5383,ocean,08
1964,-0.1473,16.4,16.2527,ocean,08
1965,0.0016,16.4,16.4016,ocean,08
1966,0.0025,16.4,16.4025,ocean,08
1967,0.0518,16.4,16.4518,ocean,08
1968,0.0504,16.4,16.4504,ocean,08
1969,0.1406,16.4,16.5406,ocean,08
1970,-0.0055,16.4,16.3945,ocean,08
1971,-0.0600,16.4,16.34,ocean,08
1972,0.1136,16.4,16.5136,ocean,08
1973,0.0724,16.4,16.4724,ocean,08
1974,0.0636,16.4,16.4636,ocean,08
1975,-0.0492,16.4,16.3508,ocean,08
1976,-0.0234,16.4,16.3766,ocean,08
1977,0.1902,16.4,16.5902,ocean,08
1978,0.1052,16.4,16.5052,ocean,08
1979,0.2628,16.4,16.6628,ocean,08
1980,0.2070,16.4,16.607,ocean,08
1981,0.2010,16.4,16.601,ocean,08
1982,0.1586,16.4,16.5586,ocean,08
1983,0.2594,16.4,16.6594,ocean,08
1984,0.1757,16.4,16.5757,ocean,08
1985,0.1174,16.4,16.5174,ocean,08
1986,0.1910,16.4,16.591,ocean,08
1987,0.4032,16.4,16.8032,ocean,08
1988,0.2753,16.4,16.6753,ocean,08
1989,0.3128,16.4,16.7128,ocean,08
1990,0.3623,16.4,16.7623,ocean,08
1991,0.3820,16.4,16.782,ocean,08
1992,0.2052,16.4,16.6052,ocean,08
1993,0.2245,16.4,16.6245,ocean,08
1994,0.3178,16.4,16.7178,ocean,08
1995,0.3831,16.4,16.7831,ocean,08
1996,0.3314,16.4,16.7314,ocean,08
1997,0.5227,16.4,16.9227,ocean,08
1998,0.5474,16.4,16.9474,ocean,08
1999,0.3110,16.4,16.711,ocean,08
2000,0.3725,16.4,16.7725,ocean,08
2001,0.4778,16.4,16.8778,ocean,08
2002,0.4598,16.4,16.8598,ocean,08
2003,0.5617,16.4,16.9617,ocean,08
2004,0.5276,16.4,16.9276,ocean,08
2005,0.5779,16.4,16.9779,ocean,08
2006,0.5487,16.4,16.9487,ocean,08
2007,0.4413,16.4,16.8413,ocean,08
2008,0.5114,16.4,16.9114,ocean,08
2009,0.6325,16.4,17.0325,ocean,08
2010,0.5586,16.4,16.9586,ocean,08
2011,0.4987,16.4,16.8987,ocean,08
2012,0.6018,16.4,17.0018,ocean,08
2013,0.6351,16.4,17.0351,ocean,08
2014,0.7306,16.4,17.1306,ocean,08
2015,0.7905,16.4,17.1905,ocean,08
1880,-0.3160,13.8,13.484,land,08
1881,-0.1720,13.8,13.628,land,08
1882,-0.0743,13.8,13.7257,land,08
1883,-0.3105,13.8,13.4895,land,08
1884,-0.6887,13.8,13.1113,land,08
1885,-0.6515,13.8,13.1485,land,08
1886,-0.3225,13.8,13.4775,land,08
1887,-0.6691,13.8,13.1309,land,08
1888,-0.5264,13.8,13.2736,land,08
1889,-0.2519,13.8,13.5481,land,08
1890,-0.4002,13.8,13.3998,land,08
1891,-0.4432,13.8,13.3568,land,08
1892,-0.3271,13.8,13.4729,land,08
1893,-0.4636,13.8,13.3364,land,08
1894,-0.3414,13.8,13.4586,land,08
1895,-0.4080,13.8,13.392,land,08
1896,-0.2117,13.8,13.5883,land,08
1897,-0.1986,13.8,13.6014,land,08
1898,-0.2576,13.8,13.5424,land,08
1899,-0.1821,13.8,13.6179,land,08
1900,-0.1123,13.8,13.6877,land,08
1901,-0.0678,13.8,13.7322,land,08
1902,-0.4054,13.8,13.3946,land,08
1903,-0.4965,13.8,13.3035,land,08
1904,-0.3992,13.8,13.4008,land,08
1905,-0.2693,13.8,13.5307,land,08
1906,-0.1303,13.8,13.6697,land,08
1907,-0.3416,13.8,13.4584,land,08
1908,-0.4847,13.8,13.3153,land,08
1909,-0.0120,13.8,13.788,land,08
1910,-0.1657,13.8,13.6343,land,08
1911,-0.3941,13.8,13.4059,land,08
1912,-0.7098,13.8,13.0902,land,08
1913,-0.2034,13.8,13.5966,land,08
1914,-0.1601,13.8,13.6399,land,08
1915,-0.0732,13.8,13.7268,land,08
1916,-0.2001,13.8,13.5999,land,08
1917,-0.2666,13.8,13.5334,land,08
1918,-0.1419,13.8,13.6581,land,08
1919,-0.0584,13.8,13.7416,land,08
1920,-0.1169,13.8,13.6831,land,08
1921,-0.2692,13.8,13.5308,land,08
1922,-0.2200,13.8,13.58,land,08
1923,-0.2042,13.8,13.5958,land,08
1924,-0.1739,13.8,13.6261,land,08
