Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.0091
188002,-0.1303
188003,-0.1433
188004,-0.0594
188005,-0.0854
188006,-0.1784
188007,-0.1616
188008,-0.0853
188009,-0.0950
188010,-0.1926
188011,-0.2771
188012,-0.0913
188101,-0.0276
188102,-0.0375
188103,0.0228
188104,0.0615
188105,0.0153
188106,-0.0994
188107,-0.0448
188108,-0.0592
188109,-0.1903
188110,-0.2326
188111,-0.2280
188112,-0.0557
188201,0.0808
188202,0.0304
188203,0.0676
188204,-0.1329
188205,-0.1565
188206,-0.1478
188207,-0.0739
188208,-0.0149
188209,0.0000
188210,-0.2203
188211,-0.1363
188212,-0.1779
188301,-0.2761
188302,-0.2983
188303,-0.1364
188304,-0.1794
188305,-0.1497
188306,-0.0146
188307,-0.0909
188308,-0.0590
188309,-0.1553
188310,-0.1709
188311,-0.1773
188312,-0.0861
188401,-0.1943
188402,-0.1529
188403,-0.2158
188404,-0.1909
188405,-0.1390
188406,-0.2058
188407,-0.3100
188408,-0.2804
188409,-0.2357
188410,-0.1821
188411,-0.2787
188412,-0.1578
188501,-0.4352
188502,-0.2655
188503,-0.1557
188504,-0.2649
188505,-0.2894
188506,-0.3191
188507,-0.2460
188508,-0.2506
188509,-0.2055
188510,-0.1378
188511,-0.1341
188512,0.0407
188601,-0.1149
188602,-0.2847
188603,-0.2885
188604,-0.1749
188605,-0.1624
188606,-0.2514
188607,-0.1660
188608,-0.2209
188609,-0.1988
188610,-0.2333
188611,-0.1998
188612,-0.1671
188701,-0.3846
188702,-0.3804
188703,-0.1684
188704,-0.1970
188705,-0.2418
188706,-0.2229
188707,-0.2734
188708,-0.3192
188709,-0.1903
188710,-0.3039
188711,-0.1665
188712,-0.2063
188801,-0.3990
188802,-0.3363
188803,-0.3134
188804,-0.1829
188805,-0.1675
188806,-0.1042
188807,-0.1266
188808,-0.1690
188809,-0.0725
188810,0.0103
188811,-0.0502
188812,0.0374
188901,-0.1021
188902,0.0041
188903,0.1127
188904,0.0438
188905,-0.0335
188906,-0.0760
188907,-0.1643
188908,-0.1500
188909,-0.2348
188910,-0.2003
188911,-0.2889
188912,-0.1846
189001,-0.3657
189002,-0.4370
189003,-0.3154
189004,-0.2695
189005,-0.3918
189006,-0.3016
189007,-0.2900
189008,-0.3335
189009,-0.3544
189010,-0.3021
189011,-0.3476
189012,-0.2452
189101,-0.3897
189102,-0.5290
189103,-0.2206
189104,-0.2632
189105,-0.1433
189106,-0.2079
189107,-0.2231
189108,-0.2314
189109,-0.1568
189110,-0.2980
189111,-0.3983
189112,-0.0457
189201,-0.2484
189202,-0.1350
189203,-0.3137
189204,-0.3157
189205,-0.3047
189206,-0.2886
189207,-0.3542
189208,-0.3407
189209,-0.2303
189210,-0.2543
189211,-0.4754
189212,-0.4764
189301,-0.6818
189302,-0.6178
189303,-0.2261
189304,-0.3475
189305,-0.3398
189306,-0.2378
189307,-0.2007
189308,-0.3270
189309,-0.2635
189310,-0.2124
189311,-0.1658
189312,-0.2508
189401,-0.4368
189402,-0.2224
189403,-0.2064
189404,-0.3045
189405,-0.3033
189406,-0.3506
189407,-0.2747
189408,-0.2727
189409,-0.2540
189410,-0.2149
189411,-0.2971
189412,-0.2398
189501,-0.4407
189502,-0.4169
189503,-0.2862
189504,-0.1834
189505,-0.2061
189506,-0.2972
189507,-0.1998
189508,-0.2225
189509,-0.1307
189510,-0.1294
189511,-0.1560
189512,-0.0686
189601,-0.1042
189602,-0.0787
189603,-0.2088
189604,-0.2616
189605,-0.1015
189606,-0.0887
189607,-0.0457
189608,-0.0681
189609,-0.0646
189610,-0.0050
189611,-0.1630
189612,0.0517
189701,-0.1853
189702,-0.1103
189703,-0.1850
189704,-0.0031
189705,-0.0226
189706,-0.0995
189707,-0.0382
189708,-0.0724
189709,-0.0248
189710,-0.1584
189711,-0.2386
189712,-0.2946
189801,-0.0399
189802,-0.2799
189803,-0.6563
189804,-0.3498
189805,-0.2945
189806,-0.2082
189807,-0.2391
189808,-0.2272
189809,-0.1998
189810,-0.3232
189811,-0.2409
189812,-0.0066
189901,-0.1025
189902,-0.2838
189903,-0.2601
189904,-0.1948
189905,-0.1196
189906,-0.1977
189907,-0.1238
189908,-0.0629
189909,-0.0270
189910,-0.0257
189911,0.1286
189912,-0.1685
190001,-0.2457
190002,-0.0971
190003,-0.0470
190004,-0.0968
190005,-0.0401
190006,-0.0487
190007,-0.0717
190008,-0.0706
190009,-0.0626
190010,0.0446
190011,-0.1389
190012,0.0284
190101,-0.1275
190102,-0.0799
190103,-0.0334
190104,-0.0666
190105,-0.1270
190106,-0.1339
190107,-0.1543
190108,-0.1324
190109,-0.2089
190110,-0.2809
190111,-0.1428
190112,-0.2390
190201,-0.0925
190202,-0.0404
190203,-0.2031
190204,-0.2726
190205,-0.2660
190206,-0.3389
190207,-0.2918
190208,-0.2642
190209,-0.2376
190210,-0.2860
190211,-0.3456
190212,-0.3714
190301,-0.2144
190302,-0.0876
190303,-0.2823
190304,-0.3570
190305,-0.3922
190306,-0.3798
190307,-0.3314
190308,-0.4310
190309,-0.3758
190310,-0.4368
190311,-0.3938
190312,-0.3872
190401,-0.5410
190402,-0.4669
190403,-0.5125
190404,-0.4715
190405,-0.4304
190406,-0.4414
190407,-0.4590
190408,-0.4270
190409,-0.4639
190410,-0.4073
190411,-0.1668
190412,-0.2433
190501,-0.3560
190502,-0.6192
190503,-0.3928
190504,-0.4508
190505,-0.2920
190506,-0.2461
190507,-0.1870
190508,-0.2199
190509,-0.2187
190510,-0.2937
190511,-0.0894
190512,-0.1292
190601,-0.1707
190602,-0.2339
190603,-0.1435
190604,-0.0451
190605,-0.2135
190606,-0.1688
190607,-0.2403
190608,-0.2295
190609,-0.2991
190610,-0.2752
190611,-0.3636
190612,-0.1616
190701,-0.3447
190702,-0.4013
190703,-0.2757
190704,-0.3528
190705,-0.4690
190706,-0.3751
190707,-0.3492
190708,-0.3344
190709,-0.3388
190710,-0.3017
190711,-0.5052
190712,-0.3917
190801,-0.3592
190802,-0.3750
190803,-0.6055
190804,-0.4803
190805,-0.3989
190806,-0.4045
190807,-0.3844
190808,-0.4767
190809,-0.3939
190810,-0.5144
190811,-0.4827
190812,-0.3802
190901,-0.5490
190902,-0.4567
190903,-0.5403
190904,-0.5261
190905,-0.4513
190906,-0.4155
190907,-0.4331
190908,-0.3045
190909,-0.3607
190910,-0.3917
190911,-0.2746
190912,-0.4072
191001,-0.3043
191002,-0.3591
191003,-0.4226
191004,-0.3395
191005,-0.3030
191006,-0.3526
191007,-0.3241
191008,-0.3299
191009,-0.3290
191010,-0.4164
191011,-0.4943
191012,-0.5633
191101,-0.5104
191102,-0.5301
191103,-0.5709
191104,-0.5079
191105,-0.4725
191106,-0.4359
191107,-0.4585
191108,-0.4483
191109,-0.3902
191110,-0.3347
191111,-0.2489
191112,-0.2346
191201,-0.2731
191202,-0.1088
191203,-0.3079
191204,-0.1991
191205,-0.2224
191206,-0.2553
191207,-0.3122
191208,-0.4458
191209,-0.4825
191210,-0.5147
191211,-0.4117
191212,-0.3530
191301,-0.3490
191302,-0.3843
191303,-0.4059
191304,-0.3459
191305,-0.3930
191306,-0.3765
191307,-0.3494
191308,-0.3231
191309,-0.3511
191310,-0.3080
191311,-0.1308
191312,-0.0349
191401,0.0986
191402,-0.1150
191403,-0.1580
191404,-0.2455
191405,-0.1610
191406,-0.1914
191407,-0.2039
191408,-0.1699
191409,-0.1762
191410,-0.0912
191411,-0.1171
191412,-0.0966
191501,-0.1352
191502,-0.0095
191503,-0.1019
191504,0.0240
191505,-0.0651
191506,-0.0818
191507,-0.0257
191508,-0.0696
191509,-0.1095
191510,-0.1692
191511,-0.0089
191512,-0.0484
191601,-0.1767
191602,-0.1725
191603,-0.2940
191604,-0.1955
191605,-0.2196
191606,-0.3807
191607,-0.2843
191608,-0.2727
191609,-0.2574
191610,-0.2612
191611,-0.3912
191612,-0.5720
191701,-0.4226
191702,-0.4684
191703,-0.4253
191704,-0.3109
191705,-0.4442
191706,-0.3377
191707,-0.1659
191708,-0.1689
191709,-0.0554
191710,-0.2580
191711,-0.1290
191712,-0.5299
191801,-0.2102
191802,-0.2862
191803,-0.1781
191804,-0.2941
191805,-0.2755
191806,-0.1740
191807,-0.1954
191808,-0.1708
191809,-0.1424
191810,-0.0924
191811,-0.1093
191812,-0.3171
191901,-0.2370
191902,-0.0533
191903,-0.2360
191904,-0.0670
191905,-0.1789
191906,-0.2306
191907,-0.2087
191908,-0.2069
191909,-0.1766
191910,-0.2168
191911,-0.3155
191912,-0.2951
192001,-0.1142
192002,-0.2261
192003,-0.0589
192004,-0.2089
192005,-0.1682
192006,-0.2548
192007,-0.2419
192008,-0.2281
192009,-0.1735
192010,-0.2072
192011,-0.2493
192012,-0.3845
192101,-0.0553
192102,-0.1476
192103,-0.2171
192104,-0.2029
192105,-0.1873
192106,-0.1644
192107,-0.1095
192108,-0.1908
192109,-0.1448
192110,-0.0626
192111,-0.1818
192112,-0.0797
192201,-0.3199
192202,-0.2894
192203,-0.0759
192204,-0.1251
192205,-0.2610
192206,-0.2792
192207,-0.2568
192208,-0.2738
192209,-0.2509
192210,-0.2447
192211,-0.1879
192212,-0.1529
192301,-0.2108
192302,-0.3736
192303,-0.2620
192304,-0.3323
192305,-0.2459
192306,-0.1899
192307,-0.2751
192308,-0.2756
192309,-0.2399
192310,-0.1540
192311,0.0343
192312,0.0087
192401,-0.2462
192402,-0.1804
192403,-0.1099
192404,-0.2393
192405,-0.1844
192406,-0.2205
192407,-0.2132
192408,-0.2838
