year,anomaly,historic_avg,actual_avg,type,month
1880,-0.1134,16.4,16.2866,ocean,07
1881,0.0426,16.4,16.4426,ocean,07
1882,0.0505,16.4,16.4505,ocean,07
1883,-0.0199,16.4,16.3801,ocean,07
1884,-0.2054,16.4,16.1946,ocean,07
1885,-0.1710,16.4,16.229,ocean,07
1886,-0.1541,16.4,16.2459,ocean,07
1887,-0.2375,16.4,16.1625,ocean,07
1888,-0.0878,16.4,16.3122,ocean,07
1889,-0.1194,16.4,16.2806,ocean,07
1890,-0.3160,16.4,16.084,ocean,07
1891,-0.1449,16.4,16.2551,ocean,07
1892,-0.3575,16.4,16.0425,ocean,07
1893,-0.2109,16.4,16.1891,ocean,07
1894,-0.2628,16.4,16.1372,ocean,07
1895,-0.1669,16.4,16.2331,ocean,07
1896,-0.0025,16.4,16.3975,ocean,07
1897,-0.0590,16.4,16.341,ocean,07
1898,-0.1937,16.4,16.2063,ocean,07
1899,-0.0903,16.4,16.3097,ocean,07
1900,-0.0393,16.4,16.3607,ocean,07
1901,-0.1925,16.4,16.2075,ocean,07
1902,-0.2456,16.4,16.1544,ocean,07
1903,-0.3151,16.4,16.0849,ocean,07
1904,-0.4466,16.4,15.9534,ocean,07
1905,-0.1920,16.4,16.208,ocean,07
1906,-0.2638,16.4,16.1362,ocean,07
1907,-0.2998,16.4,16.1002,ocean,07
1908,-0.4198,16.4,15.9802,ocean,07
1909,-0.4824,16.4,15.9176,ocean,07
1910,-0.4087,16.4,15.9913,ocean,07
1911,-0.4984,16.4,15.9016,ocean,07
1912,-0.2554,16.4,16.1446,ocean,07
1913,-0.3547,16.4,16.0453,ocean,07
1914,-0.2301,16.4,16.1699,ocean,07
1915,-0.0190,16.4,16.381,ocean,07
1916,-0.3162,16.4,16.0838,ocean,07
1917,-0.1665,16.4,16.2335,ocean,07
1918,-0.1382,16.4,16.2618,ocean,07
1919,-0.2442,16.4,16.1558,ocean,07
1920,-0.2833,16.4,16.1167,ocean,07
1921,-0.1764,16.4,16.2236,ocean,07
1922,-0.3012,16.4,16.0988,ocean,07
1923,-0.2702,16.4,16.1298,ocean,07
1924,-0.2718,16.4,16.1282,ocean,07
1925,-0.1641,16.4,16.2359,ocean,07
1926,-0.1175,16.4,16.2825,ocean,07
1927,-0.1567,16.4,16.2433,ocean,07
1928,-0.1993,16.4,16.2007,ocean,07
1929,-0.2557,16.4,16.1443,ocean,07
1930,-0.1189,16.4,16.2811,ocean,07
1931,-0.0960,16.4,16.304,ocean,07
1932,-0.1990,16.4,16.201,ocean,07
1933,-0.2214,16.4,16.1786,ocean,07
1934,-0.1018,16.4,16.2982,ocean,07
1935,-0.1719,16.4,16.2281,ocean,07
1936,-0.1399,16.4,16.2601,ocean,07
1937,0.0024,16.4,16.4024,ocean,07
1938,-0.1124,16.4,16.2876,ocean,07
1939,-0.0285,16.4,16.3715,ocean,07
1940,0.1191,16.4,16.5191,ocean,07
1941,0.1834,16.4,16.5834,ocean,07
1942,0.1461,16.4,16.5461,ocean,07
1943,0.2385,16.4,16.6385,ocean,07
1944,0.3787,16.4,16.7787,ocean,07
1945,0.3063,16.4,16.7063,ocean,07
1946,-0.0372,16.4,16.3628,ocean,07
1947,-0.0114,16.4,16.3886,ocean,07
1948,-0.0999,16.4,16.3001,ocean,07
1949,-0.0506,16.4,16.3494,ocean,07
1950,-0.0227,16.4,16.3773,ocean,07
1951,0.1309,16.4,16.5309,ocean,07
1952,0.0412,16.4,16.4412,ocean,07
1953,0.0875,16.4,16.4875,ocean,07
1954,-0.1249,16.4,16.2751,ocean,07
1955,-0.0442,16.4,16.3558,ocean,07
1956,-0.0827,16.4,16.3173,ocean,07
1957,0.1728,16.4,16.5728,ocean,07
1958,0.0898,16.4,16.4898,ocean,07
1959,0.0587,16.4,16.4587,ocean,07
1960,0.0941,16.4,16.4941,ocean,07
1961,0.0484,16.4,16.4484,ocean,07
1962,0.1309,16.4,16.5309,ocean,07
1963,0.1134,16.4,16.5134,ocean,07
1964,-0.0924,16.4,16.3076,ocean,07
1965,-0.0575,16.4,16.3425,ocean,07
1966,0.0296,16.4,16.4296,ocean,07
1967,0.0244,16.4,16.4244,ocean,07
1968,0.0372,16.4,16.4372,ocean,07
1969,0.0930,16.4,16.493,ocean,07
1970,-0.0531,16.4,16.3469,ocean,07
1971,-0.0477,16.4,16.3523,ocean,07
1972,0.1271,16.4,16.5271,ocean,07
1973,0.0926,16.4,16.4926,ocean,07
1974,0.0109,16.4,16.4109,ocean,07
1975,-0.0261,16.4,16.3739,ocean,07
1976,-0.0211,16.4,16.3789,ocean,07
1977,0.1780,16.4,16.578,ocean,07
1978,0.1293,16.4,16.5293,ocean,07
1979,0.2232,16.4,16.6232,ocean,07
1980,0.2309,16.4,16.6309,ocean,07
1981,0.2404,16.4,16.6404,ocean,07
1982,0.1343,16.4,16.5343,ocean,07
1983,0.2442,16.4,16.6442,ocean,07
1984,0.1459,16.4,16.5459,ocean,07
1985,0.1519,16.4,16.5519,ocean,07
1986,0.2066,16.4,16.6066,ocean,07
1987,0.3683,16.4,16.7683,ocean,07
1988,0.2859,16.4,16.6859,ocean,07
1989,0.3052,16.4,16.7052,ocean,07
1990,0.3987,16.4,16.7987,ocean,07
1991,0.4262,16.4,16.8262,ocean,07
1992,0.2419,16.4,16.6419,ocean,07
1993,0.2466,16.4,16.6466,ocean,07
1994,0.3061,16.4,16.7061,ocean,07
1995,0.3883,16.4,16.7883,ocean,07
1996,0.2968,16.4,16.6968,ocean,07
1997,0.4899,16.4,16.8899,ocean,07
1998,0.5900,16.4,16.99,ocean,07
1999,0.3105,16.4,16.7105,ocean,07
2000,0.3503,16.4,16.7503,ocean,07
2001,0.4866,16.4,16.8866,ocean,07
2002,0.4830,16.4,16.883,ocean,07
2003,0.5355,16.4,16.9355,ocean,07
2004,0.4956,16.4,16.8956,ocean,07
2005,0.5636,16.4,16.9636,ocean,07
2006,0.5289,16.4,16.9289,ocean,07
2007,0.4567,16.4,16.8567,ocean,07
2008,0.4960,16.4,16.896,ocean,07
2009,0.6436,16.4,17.0436,ocean,07
2010,0.5893,16.4,16.9893,ocean,07
2011,0.5034,16.4,16.9034,ocean,07
2012,0.5736,16.4,16.9736,ocean,07
2013,0.6197,16.4,17.0197,ocean,07
2014,0.6761,16.4,17.0761,ocean,07
2015,0.7502,16.4,17.1502,ocean,07
1880,-0.3505,14.3,13.9495,land,07
1881,-0.3685,14.3,13.9315,land,07
1882,-0.5399,14.3,13.7601,land,07
1883,-0.3556,14.3,13.9444,land,07
1884,-0.6782,14.3,13.6218,land,07
1885,-0.5514,14.3,13.7486,land,07
1886,-0.2389,14.3,14.0611,land,07
1887,-0.4390,14.3,13.861,land,07
