year,anomaly,historic_avg,actual_avg,type,month
1880,-0.0380,15.9,15.862,ocean,02
1881,0.0626,15.9,15.9626,ocean,02
1882,0.0831,15.9,15.9831,ocean,02
1883,0.0083,15.9,15.9083,ocean,02
1884,-0.0085,15.9,15.8915,ocean,02
1885,-0.1413,15.9,15.7587,ocean,02
1886,-0.1194,15.9,15.7806,ocean,02
1887,-0.2471,15.9,15.6529,ocean,02
1888,-0.2075,15.9,15.6925,ocean,02
1889,0.0431,15.9,15.9431,ocean,02
1890,-0.2796,15.9,15.6204,ocean,02
1891,-0.2124,15.9,15.6876,ocean,02
1892,-0.0669,15.9,15.8331,ocean,02
1893,-0.2512,15.9,15.6488,ocean,02
1894,-0.2810,15.9,15.619,ocean,02
1895,-0.1604,15.9,15.7396,ocean,02
1896,-0.0778,15.9,15.8222,ocean,02
1897,0.0390,15.9,15.939,ocean,02
1898,-0.2261,15.9,15.6739,ocean,02
1899,-0.1755,15.9,15.7245,ocean,02
1900,0.0215,15.9,15.9215,ocean,02
1901,-0.0663,15.9,15.8337,ocean,02
1902,-0.2246,15.9,15.6754,ocean,02
1903,-0.2351,15.9,15.6649,ocean,02
1904,-0.4300,15.9,15.47,ocean,02
1905,-0.3527,15.9,15.5473,ocean,02
1906,-0.1097,15.9,15.7903,ocean,02
1907,-0.2877,15.9,15.6123,ocean,02
1908,-0.3807,15.9,15.5193,ocean,02
1909,-0.4210,15.9,15.479,ocean,02
1910,-0.3778,15.9,15.5222,ocean,02
1911,-0.5082,15.9,15.3918,ocean,02
1912,-0.1846,15.9,15.7154,ocean,02
1913,-0.2786,15.9,15.6214,ocean,02
1914,-0.2016,15.9,15.6984,ocean,02
1915,-0.0663,15.9,15.8337,ocean,02
1916,-0.1630,15.9,15.737,ocean,02
1917,-0.3152,15.9,15.5848,ocean,02
1918,-0.2243,15.9,15.6757,ocean,02
1919,0.0379,15.9,15.9379,ocean,02
1920,-0.1530,15.9,15.747,ocean,02
1921,-0.1844,15.9,15.7156,ocean,02
1922,-0.1677,15.9,15.7323,ocean,02
1923,-0.2865,15.9,15.6135,ocean,02
1924,-0.1583,15.9,15.7417,ocean,02
1925,-0.2672,15.9,15.6328,ocean,02
1926,-0.0775,15.9,15.8225,ocean,02
1927,-0.1708,15.9,15.7292,ocean,02
1928,-0.1801,15.9,15.7199,ocean,02
1929,-0.2869,15.9,15.6131,ocean,02
1930,-0.2055,15.9,15.6945,ocean,02
