year,anomaly,historic_avg,actual_avg,type,month
1880,-0.1534,16.4,16.2466,ocean,06
1881,0.0340,16.4,16.434,ocean,06
1882,-0.0439,16.4,16.3561,ocean,06
1883,-0.0008,16.4,16.3992,ocean,06
1884,-0.1432,16.4,16.2568,ocean,06
1885,-0.2408,16.4,16.1592,ocean,06
1886,-0.1786,16.4,16.2214,ocean,06
1887,-0.1651,16.4,16.2349,ocean,06
1888,-0.0426,16.4,16.3574,ocean,06
1889,-0.0465,16.4,16.3535,ocean,06
1890,-0.2759,16.4,16.1241,ocean,06
1891,-0.0951,16.4,16.3049,ocean,06
1892,-0.2881,16.4,16.1119,ocean,06
1893,-0.2159,16.4,16.1841,ocean,06
1894,-0.3107,16.4,16.0893,ocean,06
1895,-0.2452,16.4,16.1548,ocean,06
1896,-0.0569,16.4,16.3431,ocean,06
1897,-0.0613,16.4,16.3387,ocean,06
1898,-0.2087,16.4,16.1913,ocean,06
1899,-0.1175,16.4,16.2825,ocean,06
1900,-0.0937,16.4,16.3063,ocean,06
1901,-0.1527,16.4,16.2473,ocean,06
1902,-0.3108,16.4,16.0892,ocean,06
1903,-0.3315,16.4,16.0685,ocean,06
1904,-0.4399,16.4,15.9601,ocean,06
1905,-0.2254,16.4,16.1746,ocean,06
1906,-0.2447,16.4,16.1553,ocean,06
1907,-0.2797,16.4,16.1203,ocean,06
1908,-0.4149,16.4,15.9851,ocean,06
1909,-0.4495,16.4,15.9505,ocean,06
1910,-0.3705,16.4,16.0295,ocean,06
1911,-0.4761,16.4,15.9239,ocean,06
1912,-0.2655,16.4,16.1345,ocean,06
1913,-0.3493,16.4,16.0507,ocean,06
1914,-0.2335,16.4,16.1665,ocean,06
1915,-0.0747,16.4,16.3253,ocean,06
1916,-0.3293,16.4,16.0707,ocean,06
1917,-0.2867,16.4,16.1133,ocean,06
1918,-0.0942,16.4,16.3058,ocean,06
1919,-0.2028,16.4,16.1972,ocean,06
1920,-0.2129,16.4,16.1871,ocean,06
1921,-0.2382,16.4,16.1618,ocean,06
1922,-0.3136,16.4,16.0864,ocean,06
1923,-0.2268,16.4,16.1732,ocean,06
1924,-0.2455,16.4,16.1545,ocean,06
1925,-0.1890,16.4,16.211,ocean,06
1926,-0.1081,16.4,16.2919,ocean,06
1927,-0.2205,16.4,16.1795,ocean,06
1928,-0.2616,16.4,16.1384,ocean,06
1929,-0.2851,16.4,16.1149,ocean,06
1930,-0.1234,16.4,16.2766,ocean,06
1931,-0.0664,16.4,16.3336,ocean,06
1932,-0.1866,16.4,16.2134,ocean,06
1933,-0.2132,16.4,16.1868,ocean,06
1934,-0.0280,16.4,16.372,ocean,06
1935,-0.1680,16.4,16.232,ocean,06
1936,-0.1490,16.4,16.251,ocean,06
1937,-0.0550,16.4,16.345,ocean,06
1938,-0.0991,16.4,16.3009,ocean,06
1939,-0.0600,16.4,16.34,ocean,06
1940,0.0902,16.4,16.4902,ocean,06
1941,0.1566,16.4,16.5566,ocean,06
1942,0.2233,16.4,16.6233,ocean,06
1943,0.1759,16.4,16.5759,ocean,06
