Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.1796
188002,-0.5748
188003,-0.7623
188004,-0.3364
188005,-0.2326
188006,-0.3085
188007,-0.3505
188008,-0.3160
188009,-0.3946
188010,-0.6373
188011,-0.9657
188012,-0.5840
188101,-0.4581
188102,-0.5314
188103,-0.3189
188104,-0.1777
188105,-0.0768
188106,-0.5673
188107,-0.3685
188108,-0.1720
188109,-0.5808
188110,-0.7626
188111,-0.9191
188112,-0.3677
188201,-0.0051
188202,-0.2201
188203,-0.0136
188204,-0.7091
188205,-0.5248
188206,-0.5522
188207,-0.5399
188208,-0.0743
188209,-0.1706
188210,-0.8502
188211,-0.4320
188212,-0.6809
188301,-1.2617
188302,-1.3892
188303,-0.5484
188304,-0.6247
188305,-0.5015
188306,-0.0797
188307,-0.3556
188308,-0.3105
188309,-0.4924
188310,-0.5757
188311,-0.7143
188312,-0.2447
188401,-0.4280
188402,-0.7253
188403,-0.8963
188404,-0.7301
188405,-0.5160
188406,-0.4601
188407,-0.6782
188408,-0.6887
188409,-0.6302
188410,-0.4549
188411,-0.6937
188412,-0.3204
188501,-1.3549
188502,-0.8167
188503,-0.3660
188504,-0.6109
188505,-0.6101
188506,-0.6453
188507,-0.5514
188508,-0.6515
188509,-0.4085
188510,-0.3504
188511,-0.2461
188512,0.2232
188601,-0.4542
188602,-1.0144
188603,-0.8525
188604,-0.3878
188605,-0.4197
188606,-0.5587
188607,-0.2389
188608,-0.3225
188609,-0.3552
188610,-0.6189
188611,-0.6195
188612,-0.0459
188701,-1.0698
188702,-0.9185
188703,-0.2983
188704,-0.3571
188705,-0.2286
188706,-0.4815
188707,-0.4390
188708,-0.6691
188709,-0.1894
188710,-0.6345
188711,-0.1725
188712,-0.2670
188801,-1.0214
188802,-0.8455
188803,-0.8115
188804,-0.2576
188805,-0.4854
188806,-0.3341
188807,-0.2831
188808,-0.5264
188809,-0.2678
188810,-0.2371
188811,-0.4747
188812,-0.2199
188901,-0.7812
188902,-0.1754
188903,0.1152
188904,0.1768
188905,-0.2310
188906,-0.1947
188907,-0.3251
188908,-0.2519
188909,-0.4376
188910,-0.4729
188911,-0.9244
188912,-0.4369
189001,-0.8523
189002,-0.9133
189003,-0.5607
189004,-0.3210
189005,-0.7149
189006,-0.4114
189007,-0.2451
189008,-0.4002
189009,-0.3567
189010,-0.2690
189011,-0.7415
189012,-0.4507
189101,-0.8672
189102,-1.3984
189103,-0.4560
189104,-0.6376
189105,-0.4002
189106,-0.5472
189107,-0.4499
189108,-0.4432
189109,-0.2240
189110,-0.6529
189111,-0.9196
189112,0.1062
189201,-0.7366
189202,-0.3725
189203,-0.8546
189204,-0.7113
189205,-0.5288
189206,-0.3255
189207,-0.3707
189208,-0.3271
189209,-0.1386
189210,-0.1538
189211,-1.0615
189212,-0.9373
189301,-2.0670
189302,-1.6990
189303,-0.2559
