Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.0104
188002,-0.1317
188003,-0.1486
188004,-0.0623
188005,-0.0886
188006,-0.1790
188007,-0.1617
188008,-0.0851
188009,-0.0950
188010,-0.1922
188011,-0.2770
188012,-0.0903
188101,-0.0332
188102,-0.0417
188103,0.0186
188104,0.0588
188105,0.0147
188106,-0.1048
188107,-0.0494
188108,-0.0632
188109,-0.1905
188110,-0.2315
188111,-0.2273
188112,-0.0543
188201,0.0813
188202,0.0294
188203,0.0659
188204,-0.1339
188205,-0.1576
188206,-0.1470
188207,-0.0733
188208,-0.0149
188209,0.0016
188210,-0.2177
188211,-0.1345
188212,-0.1786
188301,-0.2759
188302,-0.2987
188303,-0.1385
188304,-0.1804
188305,-0.1517
188306,-0.0135
188307,-0.0903
188308,-0.0607
188309,-0.1537
188310,-0.1706
188311,-0.1773
188312,-0.0861
188401,-0.1953
188402,-0.1544
188403,-0.2168
188404,-0.1908
188405,-0.1395
188406,-0.2058
188407,-0.3090
188408,-0.2795
188409,-0.2349
188410,-0.1836
188411,-0.2814
188412,-0.1602
188501,-0.4392
188502,-0.2717
188503,-0.1619
188504,-0.2704
188505,-0.2942
188506,-0.3233
188507,-0.2531
188508,-0.2570
188509,-0.2115
188510,-0.1425
188511,-0.1405
188512,0.0345
188601,-0.1227
188602,-0.2927
188603,-0.2950
188604,-0.1818
188605,-0.1697
188606,-0.2572
188607,-0.1734
188608,-0.2275
188609,-0.2046
188610,-0.2395
188611,-0.2076
188612,-0.1720
188701,-0.3940
188702,-0.3888
188703,-0.1766
188704,-0.2062
188705,-0.2531
188706,-0.2299
188707,-0.2817
188708,-0.3267
188709,-0.1956
188710,-0.3090
188711,-0.1720
188712,-0.2086
188801,-0.4034
188802,-0.3410
188803,-0.3197
188804,-0.1887
188805,-0.1712
188806,-0.1066
188807,-0.1316
188808,-0.1734
188809,-0.0766
188810,0.0062
188811,-0.0552
188812,0.0315
188901,-0.1072
188902,-0.0016
188903,0.1042
188904,0.0372
188905,-0.0380
188906,-0.0837
188907,-0.1704
188908,-0.1564
188909,-0.2403
188910,-0.2049
188911,-0.2934
188912,-0.1879
189001,-0.3707
189002,-0.4430
189003,-0.3230
189004,-0.2748
189005,-0.3975
189006,-0.3080
189007,-0.2980
189008,-0.3405
189009,-0.3574
189010,-0.3064
189011,-0.3532
189012,-0.2512
189101,-0.3935
189102,-0.5333
189103,-0.2235
189104,-0.2687
189105,-0.1480
189106,-0.2123
189107,-0.2294
189108,-0.2379
189109,-0.1606
189110,-0.3030
189111,-0.4021
189112,-0.0515
189201,-0.2543
189202,-0.1415
189203,-0.3208
189204,-0.3237
189205,-0.3149
189206,-0.2962
189207,-0.3605
189208,-0.3440
189209,-0.2334
189210,-0.2581
189211,-0.4801
189212,-0.4819
189301,-0.6885
189302,-0.6251
189303,-0.2341
189304,-0.3564
189305,-0.3500
189306,-0.2504
189307,-0.2095
189308,-0.3337
189309,-0.2702
189310,-0.2203
189311,-0.1737
189312,-0.2570
189401,-0.4430
189402,-0.2281
189403,-0.2127
189404,-0.3117
189405,-0.3119
189406,-0.3584
189407,-0.2807
189408,-0.2797
189409,-0.2610
189410,-0.2234
189411,-0.3042
189412,-0.2450
189501,-0.4479
189502,-0.4243
189503,-0.2935
189504,-0.1924
189505,-0.2168
189506,-0.3050
189507,-0.2094
189508,-0.2334
189509,-0.1407
189510,-0.1390
189511,-0.1658
189512,-0.0778
189601,-0.1112
189602,-0.0860
189603,-0.2147
189604,-0.2704
189605,-0.1103
189606,-0.0990
189607,-0.0562
189608,-0.0784
189609,-0.0740
189610,-0.0127
189611,-0.1711
189612,0.0446
189701,-0.1941
189702,-0.1210
189703,-0.1956
189704,-0.0135
189705,-0.0333
189706,-0.1099
189707,-0.0471
189708,-0.0824
189709,-0.0326
189710,-0.1685
189711,-0.2667
189712,-0.3049
189801,-0.0492
189802,-0.2876
189803,-0.6636
189804,-0.3565
189805,-0.2971
189806,-0.2165
189807,-0.2475
189808,-0.2345
189809,-0.2036
189810,-0.3292
189811,-0.2465
189812,-0.0148
189901,-0.1074
189902,-0.2889
189903,-0.2630
189904,-0.2012
189905,-0.1270
189906,-0.2082
189907,-0.1350
189908,-0.0711
189909,-0.0361
189910,-0.0344
189911,0.1225
189912,-0.1723
190001,-0.2483
190002,-0.1011
190003,-0.0513
190004,-0.1025
190005,-0.0437
190006,-0.0515
190007,-0.0796
190008,-0.0768
190009,-0.0683
190010,0.0405
190011,-0.1425
190012,0.0242
190101,-0.1329
190102,-0.0846
190103,-0.0360
190104,-0.0698
190105,-0.1307
190106,-0.1364
190107,-0.1576
190108,-0.1380
190109,-0.2109
190110,-0.2860
190111,-0.1451
190112,-0.2443
190201,-0.0926
190202,-0.0425
190203,-0.2019
190204,-0.2733
190205,-0.2674
190206,-0.3425
190207,-0.2962
190208,-0.2681
190209,-0.2389
190210,-0.2869
190211,-0.3468
190212,-0.3738
190301,-0.2181
190302,-0.0920
190303,-0.2869
190304,-0.3592
190305,-0.3962
190306,-0.3814
190307,-0.3423
190308,-0.4369
190309,-0.3791
190310,-0.4397
190311,-0.3974
190312,-0.3902
190401,-0.5434
190402,-0.4665
190403,-0.5146
190404,-0.4754
190405,-0.4314
190406,-0.4428
190407,-0.4603
190408,-0.4302
190409,-0.4649
190410,-0.4074
190411,-0.1686
190412,-0.2432
190501,-0.3551
190502,-0.6197
190503,-0.3916
190504,-0.4496
190505,-0.2896
190506,-0.2473
190507,-0.1881
190508,-0.2210
190509,-0.2186
190510,-0.2929
190511,-0.0880
190512,-0.1298
190601,-0.1726
190602,-0.2346
190603,-0.1430
190604,-0.0447
190605,-0.2114
190606,-0.1724
190607,-0.2439
190608,-0.2292
190609,-0.3002
190610,-0.2739
190611,-0.3627
190612,-0.1584
190701,-0.3404
190702,-0.3983
190703,-0.2720
190704,-0.3469
190705,-0.4633
190706,-0.3708
190707,-0.3492
190708,-0.3336
190709,-0.3383
190710,-0.3020
190711,-0.5013
190712,-0.3879
190801,-0.3576
190802,-0.3721
190803,-0.6027
190804,-0.4791
190805,-0.3978
190806,-0.4048
190807,-0.3850
190808,-0.4758
190809,-0.3925
190810,-0.5121
190811,-0.4819
190812,-0.3807
190901,-0.5453
190902,-0.4521
190903,-0.5372
190904,-0.5218
190905,-0.4485
190906,-0.4119
190907,-0.4308
190908,-0.3019
190909,-0.3586
190910,-0.3878
190911,-0.2701
190912,-0.4040
191001,-0.2988
191002,-0.3556
191003,-0.4142
191004,-0.3330
191005,-0.2981
191006,-0.3488
191007,-0.3219
191008,-0.3270
191009,-0.3274
191010,-0.4153
191011,-0.4934
191012,-0.5575
191101,-0.5047
191102,-0.5235
191103,-0.5638
191104,-0.5041
191105,-0.4692
191106,-0.4403
191107,-0.4585
191108,-0.4469
191109,-0.3908
191110,-0.3358
191111,-0.2497
191112,-0.2358
191201,-0.2718
191202,-0.1018
191203,-0.3049
191204,-0.1938
191205,-0.2171
191206,-0.2515
191207,-0.3083
191208,-0.4449
191209,-0.4985
191210,-0.5129
191211,-0.4052
191212,-0.3499
191301,-0.3467
191302,-0.3839
191303,-0.4014
191304,-0.3435
191305,-0.3860
191306,-0.3715
191307,-0.3484
191308,-0.3211
191309,-0.3493
191310,-0.3050
191311,-0.1283
191312,-0.0339
191401,0.1008
