Global Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,0.0246
188002,-0.0380
188003,-0.0083
188004,0.0079
188005,-0.0560
188006,-0.1534
188007,-0.1134
188008,-0.0241
188009,-0.0140
188010,-0.0742
188011,-0.1018
188012,0.0044
188101,0.0643
188102,0.0626
188103,0.0871
188104,0.1027
188105,0.0346
188106,0.0340
188107,0.0426
188108,-0.0331
188109,-0.0770
188110,-0.0808
188111,-0.0342
188112,0.0085
188201,0.0895
188202,0.0831
188203,0.0666
188204,0.0078
188205,-0.0657
188206,-0.0439
188207,0.0505
188208,0.0017
188209,0.0544
188210,-0.0382
188211,-0.0478
188212,-0.0494
188301,-0.0160
188302,0.0083
188303,-0.0390
188304,-0.0608
188305,-0.0611
188306,-0.0008
188307,-0.0199
188308,0.0044
188309,-0.0611
188310,-0.0577
188311,-0.0290
188312,-0.0610
188401,-0.1342
188402,-0.0085
188403,-0.0382
188404,-0.0583
188405,-0.0476
188406,-0.1432
188407,-0.2054
188408,-0.1686
188409,-0.1215
188410,-0.1048
188411,-0.1731
188412,-0.1311
188501,-0.1992
188502,-0.1413
188503,-0.1290
188504,-0.1950
188505,-0.2179
188506,-0.2408
188507,-0.1710
188508,-0.1510
188509,-0.1567
188510,-0.0826
188511,-0.1123
188512,-0.0343
188601,-0.0412
188602,-0.1194
188603,-0.1607
188604,-0.1367
188605,-0.1080
188606,-0.1786
188607,-0.1541
188608,-0.2007
188609,-0.1602
188610,-0.1298
188611,-0.0877
188612,-0.2240
188701,-0.2230
188702,-0.2471
188703,-0.1628
188704,-0.1790
188705,-0.2681
188706,-0.1651
188707,-0.2375
188708,-0.2223
188709,-0.1965
188710,-0.2101
188711,-0.1726
188712,-0.2058
188801,-0.2199
188802,-0.2075
188803,-0.1961
188804,-0.1830
188805,-0.0843
188806,-0.0426
188807,-0.0878
188808,-0.0729
188809,-0.0164
188810,0.0839
188811,0.0743
188812,0.0974
188901,0.0898
188902,0.0431
188903,0.0855
188904,-0.0179
188905,0.0152
188906,-0.0465
188907,-0.1194
188908,-0.1252
188909,-0.1750
188910,-0.1100
188911,-0.0798
188912,-0.1174
189001,-0.2273
189002,-0.2796
189003,-0.2451
189004,-0.2692
189005,-0.2992
189006,-0.2759
189007,-0.3160
189008,-0.3220
189009,-0.3576
189010,-0.3190
189011,-0.2223
189012,-0.1935
189101,-0.2300
189102,-0.2124
189103,-0.1363
189104,-0.1285
189105,-0.0638
189106,-0.0951
189107,-0.1449
189108,-0.1584
189109,-0.1374
189110,-0.1707
189111,-0.2217
189112,-0.1134
189201,-0.0879
189202,-0.0669
189203,-0.1585
189204,-0.1874
189205,-0.2343
189206,-0.2881
189207,-0.3575
189208,-0.3510
189209,-0.2667
189210,-0.2920
189211,-0.2633
189212,-0.3081
189301,-0.1912
189302,-0.2512
189303,-0.2346
189304,-0.3187
189305,-0.2465
189306,-0.2159
189307,-0.2109
189308,-0.2877
189309,-0.2565
189310,-0.2010
189311,-0.1909
189312,-0.2439
189401,-0.2911
189402,-0.2810
189403,-0.2896
189404,-0.2505
189405,-0.3304
189406,-0.3107
189407,-0.2628
189408,-0.2577
189409,-0.2032
189410,-0.1856
189411,-0.2066
189412,-0.2085
189501,-0.1377
189502,-0.1604
189503,-0.2634
189504,-0.2294
189505,-0.1986
189506,-0.2452
189507,-0.1669
189508,-0.1677
189509,-0.1223
189510,-0.0852
189511,-0.0993
189512,-0.0551
189601,-0.0895
189602,-0.0778
189603,-0.0804
189604,-0.1001
189605,-0.0905
189606,-0.0569
189607,-0.0025
189608,-0.0285
189609,0.0183
189610,-0.0204
189611,0.0557
189612,0.1097
189701,-0.0068
189702,0.0390
189703,0.1031
189704,-0.0012
189705,-0.0437
189706,-0.0613
189707,-0.0590
189708,-0.0386
189709,-0.0851
189710,-0.1367
189711,-0.1894
189712,-0.2066
189801,-0.1427
189802,-0.2261
189803,-0.3161
189804,-0.3149
189805,-0.2388
189806,-0.2087
189807,-0.1937
189808,-0.2272
189809,-0.1863
189810,-0.2347
189811,-0.2178
189812,-0.1224
189901,-0.1314
189902,-0.1755
189903,-0.1662
189904,-0.2345
189905,-0.1284
189906,-0.1175
189907,-0.0903
189908,-0.0348
189909,-0.0725
189910,-0.0436
189911,-0.0360
189912,-0.0422
190001,-0.0545
190002,0.0215
190003,-0.0557
190004,-0.0600
190005,-0.0851
190006,-0.0937
190007,-0.0393
190008,-0.0656
190009,-0.0425
190010,-0.0013
190011,-0.1000
190012,-0.0603
190101,-0.0581
190102,-0.0663
190103,-0.1408
190104,-0.1241
190105,-0.1422
190106,-0.1527
190107,-0.1925
190108,-0.1627
190109,-0.2156
190110,-0.2525
190111,-0.2281
190112,-0.2336
190201,-0.2021
190202,-0.2246
190203,-0.2089
190204,-0.1701
190205,-0.2532
190206,-0.3108
190207,-0.2456
190208,-0.2215
190209,-0.2137
190210,-0.2165
190211,-0.1954
190212,-0.2062
190301,-0.2344
190302,-0.2351
190303,-0.2595
190304,-0.3019
190305,-0.3386
190306,-0.3315
190307,-0.3151
190308,-0.4164
190309,-0.3935
190310,-0.3723
190311,-0.3654
190312,-0.3370
190401,-0.4179
190402,-0.4300
190403,-0.4392
190404,-0.4326
190405,-0.4654
190406,-0.4399
190407,-0.4466
190408,-0.4417
190409,-0.4273
190410,-0.3724
190411,-0.3079
190412,-0.2746
190501,-0.3521
190502,-0.3527
190503,-0.2598
190504,-0.3034
190505,-0.2637
190506,-0.2254
190507,-0.1920
190508,-0.2047
190509,-0.2282
190510,-0.2486
190511,-0.1889
190512,-0.1538
190601,-0.1294
190602,-0.1097
190603,-0.1162
190604,-0.1489
190605,-0.3008
190606,-0.2447
190607,-0.2638
190608,-0.2650
190609,-0.2982
190610,-0.2940
190611,-0.2672
190612,-0.2741
190701,-0.2657
190702,-0.2877
190703,-0.1907
190704,-0.2085
190705,-0.2928
190706,-0.2797
190707,-0.2998
190708,-0.3314
190709,-0.3427
190710,-0.3047
190711,-0.3582
190712,-0.3529
190801,-0.4040
190802,-0.3807
190803,-0.4433
190804,-0.4064
190805,-0.4321
190806,-0.4149
190807,-0.4198
190808,-0.4732
190809,-0.4540
190810,-0.4549
190811,-0.4396
190812,-0.4156
190901,-0.4422
190902,-0.4210
190903,-0.4599
190904,-0.4388
190905,-0.4179
190906,-0.4495
190907,-0.4824
190908,-0.4076
190909,-0.4397
190910,-0.4586
190911,-0.4679
190912,-0.4449
191001,-0.3974
191002,-0.3778
191003,-0.4289
191004,-0.4065
191005,-0.3462
191006,-0.3705
191007,-0.4087
191008,-0.3902
191009,-0.3593
191010,-0.4021
191011,-0.4473
191012,-0.4824
191101,-0.4386
191102,-0.5082
191103,-0.5048
191104,-0.5440
191105,-0.5344
191106,-0.4761
191107,-0.4984
191108,-0.4671
191109,-0.4194
191110,-0.3432
191111,-0.2767
191112,-0.1974
191201,-0.2102
191202,-0.1846
191203,-0.1386
191204,-0.1515
191205,-0.2090
191206,-0.2655
191207,-0.2554
191208,-0.3503
191209,-0.3968
191210,-0.3668
191211,-0.3685
191212,-0.3176
191301,-0.3041
191302,-0.2786
191303,-0.3385
191304,-0.3590
191305,-0.3287
191306,-0.3493
191307,-0.3547
191308,-0.3629
191309,-0.3525
191310,-0.2898
191311,-0.2478
191312,-0.2084
191401,-0.1704
191402,-0.2016
191403,-0.1985
191404,-0.2264
191405,-0.2234
191406,-0.2335
191407,-0.2301
191408,-0.1736
191409,-0.1927
191410,-0.1153
191411,-0.0356
191412,-0.0244
191501,-0.0869
191502,-0.0663
191503,-0.0620
191504,-0.0212
191505,-0.0866
191506,-0.0747
191507,-0.0190
191508,-0.0654
191509,-0.0839
191510,-0.0786
191511,-0.0895
191512,-0.1883
191601,-0.2026
191602,-0.1630
191603,-0.1954
191604,-0.1691
191605,-0.2271
191606,-0.3293
191607,-0.3162
191608,-0.2991
191609,-0.2719
191610,-0.2529
191611,-0.3965
191612,-0.3479
191701,-0.3803
191702,-0.3152
191703,-0.2715
191704,-0.2333
191705,-0.3008
191706,-0.2867
191707,-0.1665
191708,-0.1217
191709,-0.0571
191710,-0.1400
191711,-0.2373
191712,-0.2234
191801,-0.1575
191802,-0.2243
191803,-0.1378
191804,-0.1852
191805,-0.1366
191806,-0.0942
191807,-0.1382
191808,-0.1792
191809,-0.1460
191810,-0.1274
191811,-0.0177
191812,-0.0666
191901,-0.0130
191902,0.0379
191903,-0.0662
191904,-0.1036
191905,-0.1167
191906,-0.2028
191907,-0.2442
191908,-0.2680
191909,-0.2206
191910,-0.1883
191911,-0.1933
191912,-0.2439
192001,-0.1810
192002,-0.1530
192003,-0.1037
192004,-0.1741
192005,-0.1687
192006,-0.2129
192007,-0.2833
192008,-0.2613
192009,-0.1565
192010,-0.1670
192011,-0.1513
192012,-0.1828
192101,-0.2110
192102,-0.1844
192103,-0.2550
192104,-0.2795
192105,-0.2952
192106,-0.2382
192107,-0.1764
192108,-0.1615
192109,-0.1226
192110,-0.0548
192111,-0.1077
192112,-0.1295
192201,-0.1925
192202,-0.1677
192203,-0.1001
192204,-0.1749
192205,-0.3052
192206,-0.3136
192207,-0.3012
192208,-0.2926
192209,-0.2766
192210,-0.2368
192211,-0.2299
192212,-0.2049
192301,-0.2622
192302,-0.2865
192303,-0.2575
192304,-0.2123
192305,-0.2053
192306,-0.2268
192307,-0.2702
192308,-0.3036
192309,-0.2781
192310,-0.2376
192311,-0.0816
192312,-0.0541
192401,-0.1222
192402,-0.1583
192403,-0.1225
192404,-0.1575
192405,-0.1469
192406,-0.2455
192407,-0.2718
192408,-0.3251
192409,-0.3435
192410,-0.3361
192411,-0.4255
192412,-0.3906
192501,-0.3045
192502,-0.2672
192503,-0.2306
192504,-0.2451
192505,-0.1976
192506,-0.1890
192507,-0.1641
192508,-0.1728
192509,-0.1210
192510,-0.0917
192511,-0.0183
192512,-0.0324
192601,-0.0129
192602,-0.0775
192603,-0.0573
192604,-0.0611
192605,-0.0666
192606,-0.1081
192607,-0.1175
192608,-0.0873
192609,-0.1050
192610,-0.1300
192611,-0.1254
192612,-0.1496
192701,-0.1143
192702,-0.1708
192703,-0.2064
192704,-0.1833
192705,-0.1991
192706,-0.2205
192707,-0.1567
192708,-0.1128
192709,-0.1164
192710,-0.1192
192711,-0.0827
192712,-0.1469
192801,-0.1304
192802,-0.1801
192803,-0.1831
192804,-0.2010
192805,-0.2173
192806,-0.2616
192807,-0.1993
192808,-0.2259
192809,-0.2185
192810,-0.1945
192811,-0.2006
192812,-0.2520
192901,-0.2907
192902,-0.2869
192903,-0.3157
192904,-0.2991
192905,-0.2998
192906,-0.2851
192907,-0.2557
192908,-0.2447
192909,-0.2180
192910,-0.1940
192911,-0.1719
192912,-0.2128
193001,-0.2262
193002,-0.2055
193003,-0.1910
193004,-0.1725
193005,-0.1762
193006,-0.1234
193007,-0.1189
193008,-0.1195
193009,-0.0345
193010,0.0297
193011,0.0534
193012,-0.0052
193101,-0.0350
193102,-0.0452
193103,-0.0134
193104,-0.1068
193105,-0.1041
193106,-0.0664
193107,-0.0960
193108,-0.0673
193109,-0.0929
193110,-0.1401
193111,-0.1540
193112,-0.1702
193201,-0.1264
193202,-0.0870
193203,-0.0964
193204,-0.1664
193205,-0.1844
193206,-0.1866
193207,-0.1990
193208,-0.2115
193209,-0.1776
193210,-0.1938
193211,-0.1727
193212,-0.1590
193301,-0.1758
193302,-0.1585
193303,-0.1883
193304,-0.1531
193305,-0.2003
193306,-0.2132
193307,-0.2214
193308,-0.2276
193309,-0.2353
193310,-0.2481
193311,-0.2903
193312,-0.2801
193401,-0.2860
193402,-0.2743
193403,-0.2382
193404,-0.1790
193405,-0.1781
193406,-0.0280
193407,-0.1018
193408,-0.0661
193409,-0.0486
193410,-0.1030
193411,-0.1005
193412,-0.1025
193501,-0.1778
193502,-0.1647
193503,-0.2162
193504,-0.1425
193505,-0.1518
193506,-0.1680
193507,-0.1719
193508,-0.1345
193509,-0.1309
193510,-0.0798
193511,-0.0787
193512,-0.0919
193601,-0.1427
193602,-0.1168
193603,-0.1579
193604,-0.1310
193605,-0.1535
193606,-0.1490
193607,-0.1399
193608,-0.0962
193609,-0.0604
193610,-0.0618
193611,-0.0905
193612,-0.0992
193701,-0.0623
193702,-0.0274
193703,-0.0517
193704,-0.0563
193705,-0.0653
193706,-0.0550
193707,0.0024
193708,0.0543
193709,0.0784
193710,0.0260
193711,0.0033
193712,-0.0225
193801,-0.0852
193802,-0.0950
193803,-0.1086
193804,-0.1218
193805,-0.0975
193806,-0.0991
193807,-0.1124
193808,-0.0828
193809,-0.0972
193810,-0.0520
193811,-0.1409
193812,-0.2129
193901,-0.2810
193902,-0.1803
193903,-0.1189
193904,-0.1121
193905,-0.1196
193906,-0.0600
193907,-0.0285
193908,0.0137
193909,0.0449
193910,0.0452
193911,0.0356
193912,0.0697
194001,0.0583
194002,0.0446
194003,0.0443
194004,0.1069
194005,0.1325
194006,0.0902
194007,0.1191
194008,0.1312
194009,0.1184
194010,0.1476
194011,0.1859
194012,0.2199
194101,0.2685
194102,0.2254
194103,0.1824
194104,0.2344
194105,0.2798
194106,0.1566
194107,0.1834
194108,0.1644
194109,0.1891
194110,0.3100
194111,0.3553
194112,0.3508
194201,0.2804
194202,0.2956
194203,0.2527
194204,0.2777
194205,0.2497
194206,0.2233
194207,0.1461
194208,0.1010
194209,0.1104
194210,0.1198
194211,0.1012
194212,0.1597
194301,0.1628
194302,0.1344
194303,0.1751
194304,0.1623
194305,0.1114
194306,0.1759
194307,0.2385
194308,0.1906
194309,0.1953
194310,0.2621
194311,0.2813
194312,0.2280
194401,0.2709
194402,0.2836
194403,0.3738
194404,0.3973
194405,0.3414
194406,0.4126
194407,0.3787
194408,0.3523
194409,0.3559
194410,0.2949
194411,0.2480
194412,0.3441
194501,0.3407
194502,0.3734
194503,0.2554
194504,0.3147
194505,0.3366
194506,0.2442
194507,0.3063
194508,0.3452
194509,0.3238
